Miasto,Dzielnica,Ulica,Cena,Cena_m2,Powierzchnia,Pokoje,Powierzchnia użytkowa,Piętro_nr,Liczba pięter,Balkon,Rynek,Forma własności,Zaktualizowano,Opublikowano,Typ budynku,Rok budowy,Deweloper,Inwestycja,Wysokość wnętrza,Powierzchnia tarasu,Materiał budowlany,Stan nieruchomości,Liczba sypialni,Typ kuchni,Liczba łazienek,Czy łazienka z WC,Powierzchnia balkonu,Powierzchnia łazienki,Cena do negocjacji,Czy przy mieszkaniu jest ogródek
Warszawa,Bielany,Nerudy,577500.0,10500.0,55.0,3.0,55.0,9.0,12.0,0.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,24 czerwca 2020,24 czerwca 2020,BLOK,1976.0,,,265.0,,RAMA H,PO REMONCIE,,WIDNA I ZAMKNIĘTA,1.0,,,3.0,,
Warszawa,Żerań,Marywilska 62,468534.0,6821.0,68.69,3.0,68.69,1.0,,1.0,pierwotny,,6 lipca 2020,21 lutego 2020,,2021.0,RONSON DEVELOPMENT SP. Z O.O.,Miasto Moje,,,,,,,,,5.4,,,
Warszawa,Skorosze,Ryżowa,680000.0,8717.95,78.0,3.0,78.0,6.0,7.0,1.0,wtórny,WŁASNOŚĆ,3 lipca 2020,23 czerwca 2020,APARTAMENTOWIEC,2008.0,,,265.0,,,WYSOKI STANDARD,,Z OKNEM,1.0,,,,,
Warszawa,Białołęka,Kowalczyka,365000.0,12166.67,30.0,1.0,30.0,1.0,6.0,,wtórny,,25 czerwca 2020,25 czerwca 2020,BLOK MIESZKALNY,2016.0,,,,,,,,,,,,,,
Warszawa,Żerań,Marywilska 62,347069.0,8034.0,43.2,2.0,43.2,5.0,,,pierwotny,,6 lipca 2020,21 lutego 2020,,2021.0,RONSON DEVELOPMENT SP. Z O.O.,Miasto Moje,,,,,,,,,,,,
Warszawa,Żerań,Marywilska 62,443002.0,7254.0,61.07,3.0,61.07,5.0,,1.0,pierwotny,,6 lipca 2020,21 lutego 2020,,2021.0,RONSON DEVELOPMENT SP. Z O.O.,Miasto Moje,,,,,,,,,4.37,,,
Warszawa,Wilanów,Branickiego,530000.0,12045.45,44.0,2.0,44.0,2.0,4.0,1.0,wtórny,,5 lipca 2020,26 czerwca 2020,NOWE BUDOWNICTWO,,,,,,,DO WPROWADZENIA,,,,,,,,
Warszawa,Stara Praga,,444768.0,12300.0,36.16,1.0,36.16,2.0,4.0,,pierwotny,WŁASNOŚĆ,19 czerwca 2020,3 lipca 2020,APARTAMENTOWIEC,2022.0,,,295.0,,MIESZANA,DEWELOPERSKI,1.0,JASNA Z OKNEM,,razem,5.0,,,
Warszawa,Praga-Południe,Osowska,389000.0,10805.56,36.0,2.0,36.0,3.0,4.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,3 lipca 2020,NISKI BLOK,1960.0,,,,,,DOBRY,,ODDZIELNA,,,,,,
Warszawa,Ochota,Urbanistów,499000.0,10312.05,48.39,3.0,48.39,4.0,4.0,,wtórny,WŁASNOŚĆ,2020-07-08,2 lipca 2020,,1969.0,,,,,,,,,,,,,,
Warszawa,Wilanów,Branickiego,749000.0,8916.67,84.0,4.0,84.0,2.0,4.0,1.0,pierwotny,WŁASNOŚĆ,2 lipca 2020,28 maja 2020,APARTAMENTOWIEC,2020.0,,,,,CEGŁA,,,ANEKS,,,,,,
Warszawa,Białołęka,,929000.0,6881.48,135.0,4.0,135.0,,,1.0,wtórny,,2020-07-08,29 czerwca 2020,BLOK,,,,,,,DOBRY,3.0,"Z OKNEM, Z WYPOSAŻENIEM, W ZABUDOWIE",,osobno,,,,
Warszawa,Ursynów,,539000.0,9140.24,58.97,3.0,58.97,3.0,4.0,,pierwotny,,18 października 2019,3 lipca 2020,APARTAMENTOWIEC,2020.0,,,270.0,,MIESZANA,DEWELOPERSKI,2.0,ANEKS KUCHENNY,1.0,razem,6.0,,,
Warszawa,Praga-Południe,Rodziewiczówny,730000.0,11967.21,61.0,3.0,61.0,7.0,8.0,,wtórny,,25 czerwca 2020,25 czerwca 2020,APARTAMENTOWIEC,2019.0,,,,,,BARDZO DOBRY,,ANEKS KUCHENNY,,,,,,
Warszawa,Ursynów,,499500.0,11293.24,44.23,2.0,44.23,1.0,8.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,2 lipca 2020,BLOK,2001.0,,,,,,DOBRY,1.0,"Z OKNEM, W ANEKSIE, Z WYPOSAŻENIEM, W ZABUDOWIE",,osobno,,,,
Warszawa,Powiśle,Okrąg,515000.0,13696.81,37.6,2.0,37.6,2.0,8.0,,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,2020-07-08,29 czerwca 2020,WIEŻOWIEC,1966.0,,,260.0,,CEGŁA,DOBRY,,Z OKNEM,1.0,,,,,
Warszawa,Praga-Południe,Majdańska,672000.0,8000.0,84.0,4.0,84.0,3.0,5.0,1.0,wtórny,WŁASNOŚĆ,1 lipca 2020,1 lipca 2020,BLOK,1987.0,,,250.0,,,DO REMONTU,,,,,,,,
Warszawa,Białołęka,,370000.0,7956.99,46.5,2.0,46.5,1.0,2.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,wczoraj,BLOK,2019.0,,,,,CEGŁA,DOBRY,1.0,"Z OKNEM, ODDZIELNA, Z WYPOSAŻENIEM, W ZABUDOWIE",,osobno,5.4,,,
Warszawa,Wawer,Goździków,369264.0,8400.0,43.96,2.0,43.96,1.0,5.0,1.0,pierwotny,,1 lipca 2020,1 lipca 2020,APARTAMENTOWIEC,2020.0,,,,,,,,,,,,,,
Warszawa,Wola,Skierniewicka,625000.0,16013.32,39.03,2.0,39.03,5.0,10.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,29 czerwca 2020,APARTAMENTOWIEC,2019.0,,,,,,,,,,,,,,
Warszawa,Wola,Sławińska,541000.0,12958.08,41.75,1.0,41.75,2.0,7.0,,wtórny,,6 lipca 2020,26 czerwca 2020,APARTAMENTOWIEC,2017.0,,,,,KONSTRUKCJA MIESZANA,,,,,,,,,
Warszawa,Groty,Batalionów Chłopskich,890000.0,12714.29,70.0,3.0,70.0,3.0,4.0,,wtórny,WŁASNOŚĆ,25 czerwca 2020,24 czerwca 2020,BLOK,2014.0,,,270.0,12.0,ZRÓŻNICOWANY,BARDZO DOBRY,2.0,WIDNA,,,,,,
Warszawa,Bielany,Broniewskiego,488000.0,9475.73,51.5,3.0,51.5,4.0,10.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,wczoraj,WIEŻOWIEC,1972.0,,,,,,WYSOKI STANDARD,,Z OKNEM,,,,,,
Warszawa,Grochów,Osiecka 57/59,661799.0,8790.0,75.29,3.0,75.29,3.0,,,pierwotny,,6 lipca 2020,16 lipca 2019,,2020.0,GRUPA INWEST,Nova Praga - Osiecka,,,,,,,,,,,,
Warszawa,Grochów,Stanisława Augusta,545000.0,9981.68,54.6,3.0,54.6,3.0,3.0,0.0,wtórny,WŁASNOŚĆ,2020-07-07,6 lipca 2020,KAMIENICA,1938.0,,,265.0,,CEGŁA,,,ANEKS,2.0,,,,,
Warszawa,Kabaty,Wańkowicza,635000.0,12700.0,50.0,2.0,50.0,1.0,4.0,,wtórny,SPÓŁDZIELCZE WŁ. Z KW,30 czerwca 2020,30 czerwca 2020,APARTAMENTOWIEC,2002.0,,,270.0,,CEGŁA,DOBRY,,,,,,,,
Warszawa,Białołęka,Głębocka,439000.0,7981.82,55.0,2.0,55.0,2.0,5.0,,wtórny,WŁASNOŚĆ,6 lipca 2020,24 czerwca 2020,,2008.0,,,,,,,,,,,,,,
Warszawa,Natolin,Braci Wagów,760000.0,13919.41,54.6,2.0,,3.0,8.0,1.0,wtórny,,30 czerwca 2020,27 maja 2020,,2009.0,,,,,,,,,,,,,1.0,
Warszawa,Targówek,Łojewska,409000.0,8702.13,47.0,3.0,47.0,2.0,4.0,1.0,wtórny,WŁASNOŚĆ,2 lipca 2020,2 lipca 2020,BLOK,1970.0,,,250.0,,PŁYTA,DO ODŚWIEŻENIA,,WIDNA I ZAMKNIĘTA,1.0,,1.0,3.0,,
Warszawa,Wawer,Borowiecka,449000.0,7610.17,59.0,4.0,59.0,0.0,2.0,,pierwotny,WŁASNOŚĆ,2 lipca 2020,2 lipca 2020,NISKI WIELORODZINNY,2020.0,,,,,CEGŁA,DO WYKOŃCZENIA,,,,,,,,
Warszawa,Natolin,,609000.0,10500.0,58.0,3.0,,3.0,3.0,1.0,wtórny,WŁASNOŚĆ,26 czerwca 2020,26 czerwca 2020,BLOK,1984.0,,,,,RAMA H,DOBRY,,ANEKS,,osobno,,,,
Warszawa,Ochota,Korotyńskiego,488000.0,7507.69,65.0,3.0,65.0,1.0,10.0,1.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE,3 lipca 2020,1 lipca 2020,WIEŻOWIEC,1976.0,,,250.0,,WIELKA PŁYTA,DO REMONTU KAPIT.,,Z OKNEM,1.0,,,,,
Warszawa,Praga-Północ,,613000.0,9887.1,62.0,3.0,62.0,1.0,6.0,,pierwotny,,2020-07-08,25 czerwca 2020,APARTAMENTOWIEC,2022.0,,,,,,,2.0,,,,,,,
Warszawa,Żerań,Marywilska 62,440976.0,6872.0,64.17,3.0,64.17,0.0,,,pierwotny,,6 lipca 2020,21 lutego 2020,,2021.0,RONSON DEVELOPMENT SP. Z O.O.,Miasto Moje,,5.69,,,,,,,,,,
Warszawa,Wola,,775000.0,12835.38,60.38,3.0,60.38,5.0,11.0,,wtórny,,26 czerwca 2020,26 czerwca 2020,BLOK,,,,270.0,,CEGŁA,BARDZO DOBRY,,ANEKS KUCHENNY,1.0,,,,,
Warszawa,Tarchomin,Mehoffera,243000.0,9155.99,26.54,1.0,26.54,0.0,3.0,1.0,pierwotny,,2020-07-07,wczoraj,,2022.0,,,,,,,,,,,,,,
Warszawa,Służewiec,Obrzeźna,588888.0,12801.91,46.0,2.0,,1.0,5.0,1.0,wtórny,WŁASNOŚĆ,24 czerwca 2020,8 czerwca 2020,APARTAMENTOWIEC,2020.0,,,,,,WYSOKI STANDARD,,ANEKS,,razem,,,1.0,
Warszawa,Białołęka,,491000.0,8322.03,59.0,3.0,59.0,4.0,4.0,,pierwotny,WŁASNOŚĆ,2020-07-07,5 lipca 2020,,2022.0,,,,,SILIKAT,DEWELOPERSKI,,ANEKS KUCHENNY,2.0,,,,,
Warszawa,Bemowo,Batalionów Chłopskich,611000.0,8605.63,71.0,3.0,71.0,1.0,5.0,1.0,pierwotny,,2 lipca 2020,2 lipca 2020,,2020.0,,,,,,,,,,,,,,
Warszawa,Bielany,Kochanowskiego,375000.0,10000.0,37.5,2.0,37.5,1.0,4.0,1.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,2020-07-07,wczoraj,NISKI BLOK,1973.0,,,,,,,,Z OKNEM,,,,,,
Warszawa,Bemowo,Pełczyńskiego,489000.0,10751.98,45.48,2.0,45.48,3.0,5.0,,wtórny,,2 lipca 2020,1 lipca 2020,APARTAMENTOWIEC,,,,,,,,1.0,,,,,,,
Warszawa,Praga-Południe,,517000.0,8602.33,60.1,3.0,60.1,4.0,5.0,,pierwotny,WŁASNOŚĆ,6 lipca 2020,6 lipca 2020,NOWE BUDOWNICTWO,2020.0,,,,,MIESZANA,DEWELOPERSKI,2.0,ANEKS KUCHENNY,1.0,osobno,4.5,6.0,,
Warszawa,Wola,Płocka,446000.0,10420.56,42.8,2.0,42.8,3.0,3.0,,wtórny,,2020-07-08,6 lipca 2020,NISKI BLOK,,,,,,,,,,,,,,,
Warszawa,Śródmieście,Zygmunta III,604999.0,12888.77,46.94,2.0,46.94,0.0,9.0,1.0,pierwotny,,30 czerwca 2020,26 czerwca 2020,,2021.0,,,,,,,,,,,,,,
Warszawa,Ursynów,,520000.0,10000.0,52.0,2.0,52.0,0.0,10.0,,wtórny,SPÓŁ. WŁASNOŚCIOWE Z KW,4 lipca 2020,1 lipca 2020,,1988.0,,,,,PŁYTA,BARDZO DOBRY,,"JASNA, ODDZIELNA",,,,,,
Warszawa,Włochy,,515000.0,8879.31,58.0,2.0,58.0,2.0,4.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,30 czerwca 2020,BLOK,2010.0,,,,,,DOBRY,1.0,"W ANEKSIE, Z WYPOSAŻENIEM, W ZABUDOWIE",,osobno,,,,
Warszawa,Praga-Południe,,725000.0,8895.71,81.5,4.0,81.5,2.0,3.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,29 czerwca 2020,BLOK,1996.0,,,,,,DOBRY,3.0,"Z OKNEM, Z WYPOSAŻENIEM, W ZABUDOWIE",,osobno,,,,
Warszawa,Pyry,Ludwinowska,745000.0,9430.38,79.0,3.0,79.0,1.0,2.0,1.0,wtórny,WŁASNOŚĆ,1 lipca 2020,6 lipca 2020,APARTAMENTOWIEC,2001.0,,,260.0,,CEGŁA,LUKSUSOWY,2.0,OTWARTA,,,8.0,,,
Warszawa,Stary Mokotów,Bachmacka,467000.0,12690.22,36.8,1.0,36.8,4.0,4.0,1.0,wtórny,WŁASNOŚĆ,4 lipca 2020,1 lipca 2020,NISKI BLOK,1955.0,,,280.0,,CEGŁA,DOBRY,,ODDZIELNA,1.0,,,,,
Warszawa,Białołęka,Mehoffera,499000.0,7899.32,63.17,3.0,63.17,0.0,3.0,1.0,pierwotny,,7 lipca 2020,6 lipca 2020,,2009.0,,,,,,,2.0,,,,,,,
Warszawa,Mokotów,Pory,704401.0,9675.84,72.8,4.0,72.8,2.0,6.0,,pierwotny,,1 lipca 2020,1 lipca 2020,APARTAMENTOWIEC,2020.0,,,,,,,,,,,,,,
Warszawa,Stary Mokotów,Wiktorska,650000.0,13265.31,49.0,3.0,49.0,1.0,4.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,23 czerwca 2020,NISKI BLOK,1960.0,,,,,CEGŁA,,,,,,,,,
Warszawa,Bielany,Nocznickiego,539000.0,9625.0,56.0,3.0,56.0,6.0,10.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,2 lipca 2020,WIEŻOWIEC,1971.0,,,,,WIELKA PŁYTA,,,ODDZIELNA,,,,,,
Warszawa,Praga-Południe,,450000.0,11842.11,38.0,2.0,38.0,0.0,4.0,,wtórny,WŁASNOŚĆ,3 lipca 2020,26 czerwca 2020,,,,,,,,BARDZO DOBRY,,PÓŁOTWARTA,1.0,,,,,
Warszawa,Wawer,,450000.0,5769.23,78.0,3.0,78.0,2.0,2.0,,pierwotny,,22 czerwca 2020,24 czerwca 2020,APARTAMENTOWIEC,2019.0,,,,,CEGŁA,DEWELOPERSKI,,,,,,,,
Warszawa,Mokotów,Aleja Wilanowska,915000.0,13071.43,70.0,2.0,70.0,6.0,6.0,1.0,wtórny,,3 lipca 2020,3 lipca 2020,APARTAMENTOWIEC,2015.0,,,,,INNE,,1.0,,,,,,,
Warszawa,Bemowo,Batalionów Chłopskich,389000.0,10318.3,37.7,2.0,37.7,1.0,4.0,1.0,wtórny,WŁASNOŚĆ,5 lipca 2020,25 czerwca 2020,BLOK MIESZKALNY,,,,260.0,,MIESZANA,DEWELOPERSKI,,,,,,,,
Warszawa,Mokotów,Racjonalizacji,655000.0,14086.02,46.5,2.0,46.5,2.0,8.0,,wtórny,WŁASNOŚĆ,2020-07-08,dzisiaj,APARTAMENTOWIEC,2019.0,,,,,,BARDZO WYSOKI STANDARD,,,,,,,,
Warszawa,Wola,Mordechaja Anielewicza,380000.0,14285.71,26.6,1.0,26.6,5.0,10.0,,wtórny,,29 czerwca 2020,2 lipca 2020,,,,,,,,,,,,,,,,
Warszawa,Tarchomin,,670000.0,8271.6,81.0,4.0,81.0,5.0,,,wtórny,,3 lipca 2020,25 czerwca 2020,,,,,,,,,,,,,,,,
Warszawa,Powiśle,Tamka,980000.0,10974.24,89.3,4.0,89.3,1.0,5.0,1.0,wtórny,,2020-07-08,26 czerwca 2020,BLOK,1990.0,,,265.0,0.0,,DO ODŚWIEŻENIA,,ODDZIELNA,1.0,,,,,
Warszawa,Mokotów,Jana III Sobieskiego,624568.0,13300.0,46.96,2.0,46.96,1.0,8.0,,pierwotny,WŁASNOŚĆ,24 czerwca 2020,24 czerwca 2020,APARTAMENTOWIEC,2019.0,,,275.0,,,DO WYKOŃCZENIA,,ANEKS KUCHENNY,1.0,,,,,
Warszawa,Żoliborz,Krajewskiego,465000.0,11625.0,40.0,2.0,40.0,0.0,3.0,,wtórny,WŁASNOŚĆ,2020-07-08,dzisiaj,KAMIENICA,1939.0,,,280.0,,CEGŁA,WYSOKI STANDARD,,Z OKNEM,1.0,,,,,
Warszawa,Bemowo,Borowej Góry,360000.0,12000.0,30.0,2.0,30.0,8.0,10.0,,wtórny,,6 lipca 2020,6 lipca 2020,BLOK MIESZKALNY,1975.0,,,,,,,,,,,,,,
Warszawa,Wola,Kacza,719000.0,11596.77,62.0,2.0,62.0,3.0,10.0,,wtórny,WŁASNOŚĆ,2020-07-08,2 lipca 2020,APARTAMENTOWIEC,2003.0,,,,,CEGŁA,,,,,,,,,
Warszawa,Białołęka Dworska,Skarbka z Gór,360000.0,6666.67,54.0,2.0,54.0,0.0,3.0,,wtórny,WŁASNOŚĆ,24 czerwca 2020,24 czerwca 2020,NISKI BLOK,2001.0,,,260.0,,,DO WYKOŃCZENIA,,ODDZIELNA,,,,,,
Warszawa,Praga-Południe,Sulejkowska,627000.0,9952.38,63.0,3.0,63.0,2.0,4.0,1.0,wtórny,WŁASNOŚĆ,25 czerwca 2020,25 czerwca 2020,NISKI BLOK,2010.0,,,,,,BARDZO WYSOKI STANDARD,,,1.0,,,,,
Warszawa,Wilanów,Branickiego,949000.0,11297.62,84.0,4.0,84.0,2.0,4.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,3 lipca 2020,APARTAMENTOWIEC,2020.0,,,,,CEGŁA,,,,,,,,,
Warszawa,Gocław,Znanieckiego,599000.0,7986.67,75.0,3.0,,2.0,3.0,,wtórny,,24 czerwca 2020,24 czerwca 2020,,,,,,,,,,,,,,,,
Warszawa,Białołęka,Krzyżówki,635000.0,10583.33,60.0,3.0,60.0,5.0,5.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,3 lipca 2020,NISKI BLOK,2019.0,,,,,,,,OTWARTA,1.0,,,,,
Warszawa,Wola,Jana Olbrachta,450000.0,8653.85,52.0,3.0,52.0,5.0,10.0,1.0,wtórny,,2020-07-07,2 lipca 2020,,1979.0,,,,,,,3.0,,,,,,,
Warszawa,Marysin Wawerski,Rekrucka,369264.0,8400.0,43.96,2.0,43.96,1.0,5.0,,pierwotny,,1 lipca 2020,1 lipca 2020,,2022.0,,,,,,,,,,,,,,
Warszawa,Ursus,Przy Forcie,810000.0,8290.69,97.7,3.0,97.7,2.0,4.0,1.0,wtórny,,3 lipca 2020,28 czerwca 2020,BLOK MIESZKALNY,2009.0,,,,,KONSTRUKCJA MIESZANA,,2.0,,,,,,,
Warszawa,Bielany,Nocznickiego,530000.0,9464.29,56.0,3.0,56.0,6.0,10.0,1.0,wtórny,WŁASNOŚĆ,2020-07-07,1 lipca 2020,BLOK,1971.0,,,,,WIELKA PŁYTA,BARDZO DOBRY,2.0,ODDZIELNA I WIDNA,,razem,1.0,3.06,,
Warszawa,Praga-Północ,Kowieńska,670000.0,11260.5,59.5,2.0,59.5,4.0,5.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,24 czerwca 2020,BUDYNEK WIELORODZINNY,2009.0,,,265.0,,TECHN. MIESZANA,BARDZO DOBRY,,WIDNA,1.0,,4.0,4.0,,
Warszawa,Praga-Południe,Marsa,699000.0,8223.53,85.0,3.0,85.0,3.0,5.0,1.0,pierwotny,,2020-07-07,25 czerwca 2020,,2020.0,,,,,,,2.0,,,,,,,
Warszawa,Jeziorki Południowe,Trombity 31,550000.0,8417.51,65.34,3.0,65.34,0.0,,1.0,pierwotny,,2 lipca 2020,2 lipca 2020,,2021.0,WESTADOM BURZYŃSKI SP.K.,Zakątek Ursynów,,,,,,,,,6.9,,,
Warszawa,Śródmieście,Litewska,991530.0,13800.0,71.85,2.0,71.85,1.0,4.0,,wtórny,WŁASNOŚĆ,6 lipca 2020,6 lipca 2020,KAMIENICA,1955.0,,,,,,,,,,,,,,
Warszawa,Żerań,Marywilska 62,342389.0,7922.0,43.22,2.0,43.22,3.0,,,pierwotny,,6 lipca 2020,21 lutego 2020,,2021.0,RONSON DEVELOPMENT SP. Z O.O.,Miasto Moje,,,,,,,,,,,,
Warszawa,Wola,Chłodna,389000.0,14407.41,27.0,2.0,27.0,12.0,15.0,,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,6 lipca 2020,6 lipca 2020,WIEŻOWIEC,1972.0,,,,,RAMA H,DOBRY,,,1.0,,,,,
Warszawa,Wola,Solidarności,353000.0,16809.52,21.0,1.0,21.0,2.0,10.0,0.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE,6 lipca 2020,6 lipca 2020,BLOK,1070.0,,,250.0,,RAMA H,DOBRY,,W PRZEDPOKOJU,1.0,,,2.5,,
Warszawa,Marysin Wawerski,Rekrucka,415077.0,8700.0,47.71,2.0,47.71,2.0,5.0,,pierwotny,,1 lipca 2020,1 lipca 2020,,2022.0,,,,,,,,,,,,,,
Warszawa,Nowodwory,Mariana Wyrzykowskiego,325000.0,9285.71,35.0,2.0,35.0,3.0,6.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,2 lipca 2020,WIEŻOWIEC,2015.0,,,,,,,,ANEKS KUCHENNY,,,,,,
Warszawa,Białołęka,,430500.0,7103.96,60.6,3.0,60.6,2.0,5.0,1.0,pierwotny,,24 czerwca 2020,24 czerwca 2020,BLOK MIESZKALNY,2020.0,,,,,,,,,,,,,,
Warszawa,Wilanów,Branickiego,999000.0,14017.12,71.27,3.0,71.27,2.0,3.0,1.0,wtórny,WŁASNOŚĆ,30 czerwca 2020,30 czerwca 2020,,2019.0,,,,,,BARDZO WYSOKI STANDARD,,OTWARTA,2.0,,,,,
Warszawa,Bemowo,,568900.0,7901.39,72.0,3.0,72.0,3.0,12.0,,wtórny,SPÓŁ. WŁASNOŚCIOWE Z KW,3 lipca 2020,29 czerwca 2020,,1976.0,,,,,PŁYTA,BARDZO DOBRY,,ANEKS KUCHENNY,1.0,,,,,
Warszawa,Bemowo,,380000.0,10857.14,35.0,1.0,35.0,1.0,4.0,,wtórny,WŁASNOŚĆ,2020-07-08,2 lipca 2020,BLOK,2005.0,,,,,,DO ODŚWIEŻENIA,,,,,6.0,,,
Warszawa,Wola,Kasprzaka,490000.0,13045.79,37.56,2.0,37.56,8.0,10.0,0.0,wtórny,WŁASNOŚĆ,2020-07-07,25 czerwca 2020,APARTAMENTOWIEC,2019.0,,,300.0,6.0,ZRÓŻNICOWANY,,,OTWARTA,,,,,,
Warszawa,Tarchomin,Talarowa,656000.0,7717.65,85.0,3.0,85.0,3.0,3.0,1.0,pierwotny,,2020-07-07,wczoraj,,2022.0,,,,,,,,,,,,,,
Warszawa,Białołęka,Marcina z Wrocimowic,420000.0,8936.17,47.0,2.0,47.0,3.0,4.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,2 lipca 2020,NISKI BLOK,2009.0,,,,,,,,ODDZIELNA,1.0,,,,,
Warszawa,Mokotów,św. Bonifacego,330000.0,12177.12,27.1,1.0,27.1,6.0,10.0,0.0,wtórny,,6 lipca 2020,6 lipca 2020,BLOK,1969.0,,,,0.0,,DOBRY,,OTWARTA,1.0,,,,,
Warszawa,Ursynów,Braci Wagów,760000.0,13818.18,55.0,2.0,55.0,3.0,8.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,2 lipca 2020,APARTAMENTOWIEC,2009.0,,,,,CEGŁA,WYSOKI STANDARD,,,,,,,,
Warszawa,Praga-Południe,Pustelnicka,438914.0,10700.0,41.02,2.0,41.02,3.0,,1.0,pierwotny,,29 czerwca 2020,20 grudnia 2019,,2021.0,GRUPA INWEST,Nova Praga - Pustelnicka,,,,,,,,,1.7,,,
Warszawa,Służewiec,Łukowa,599000.0,9418.24,63.6,3.0,63.6,3.0,11.0,1.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE,6 lipca 2020,1 lipca 2020,WIEŻOWIEC,1978.0,,,245.0,,WIELKA PŁYTA,DOBRY,,Z OKNEM,1.0,,,,,
Warszawa,Włochy,Budki Szczęśliwickie,607000.0,9406.48,64.53,3.0,64.53,4.0,4.0,1.0,pierwotny,WŁASNOŚĆ,2020-07-07,wczoraj,NISKI BLOK,2021.0,,,,,,DO WYKOŃCZENIA,,ODDZIELNA,,,,,,
Warszawa,Wilanów,Rzeczypospolitej,585000.0,14157.79,41.32,2.0,41.32,3.0,4.0,1.0,wtórny,,6 lipca 2020,4 lipca 2020,,2014.0,,,,,,,1.0,,,,,,,
Warszawa,Bródno,Krasiczyńska,295000.0,9833.33,30.0,1.0,30.0,7.0,10.0,1.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE,2020-07-08,6 lipca 2020,WIEŻOWIEC,1972.0,,,,,,DOBRY,,OKNO NA POKÓJ,,,,,,
Warszawa,Służewiec,Obrzeżna,535000.0,11732.46,45.6,2.0,42.5,1.0,4.0,,wtórny,WŁASNOŚĆ,6 lipca 2020,6 lipca 2020,APARTAMENTOWIEC,2014.0,,,300.0,,CEGŁA,,,OTWARTA,,razem,,,,
Warszawa,Ursynów,,449000.0,12135.14,37.0,1.0,37.0,9.0,12.0,,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE,2020-07-07,wczoraj,,1984.0,,,,,,,,,,,,,,
Warszawa,Śródmieście,Chmielna,630000.0,21000.0,30.0,2.0,30.0,3.0,3.0,,wtórny,WŁASNOŚĆ,2020-07-08,1 lipca 2020,KAMIENICA,1947.0,,,,,CEGŁA,WYSOKI STANDARD,,ANEKS KUCHENNY,,,,,,
Warszawa,Gocław,Ostrobramska,478000.0,10489.36,45.57,2.0,45.57,1.0,6.0,1.0,wtórny,,29 czerwca 2020,29 czerwca 2020,BLOK MIESZKALNY,2021.0,,,,,,,1.0,,,,,,,
Warszawa,Mokotów,Rabindranatha Tagore,730000.0,13594.04,53.7,2.0,53.7,2.0,3.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,dzisiaj,NISKI BLOK,2001.0,,,,,,,,OTWARTA,1.0,,,,,
Warszawa,Rembertów,Republikańska,390000.0,6093.75,64.0,3.0,64.0,0.0,4.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,30 czerwca 2020,NISKI BLOK,1986.0,,,,,,DO ODŚWIEŻENIA,,ODDZIELNA,1.0,,,,,
Warszawa,Ursynów,,490000.0,12250.0,40.0,1.0,40.0,1.0,5.0,1.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,2020-07-08,3 lipca 2020,APARTAMENTOWIEC,1998.0,,,,,CEGŁA,DOBRY,,"Z OKNEM, W ANEKSIE, Z WYPOSAŻENIEM, W ZABUDOWIE",,osobno,,,,
Warszawa,Mokotów,Orzycka,380000.0,11875.0,32.0,1.0,32.0,0.0,,,wtórny,,25 czerwca 2020,26 czerwca 2020,,1964.0,,,,,,,,,,,,,,
Warszawa,Stegny,Kaukaska,569000.0,8946.54,63.6,4.0,63.6,4.0,10.0,1.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,2020-07-08,26 czerwca 2020,BLOK,1976.0,,,,3.0,WIELKA PŁYTA,DO ODŚWIEŻENIA,3.0,OTWARTA NA POKÓJ,1.0,,3.0,0.0,,
