log_ts,departure_time,route_id,trip_id,vehicle_id,vehicle_timestamp,brigade,type,vehicle_trip_id,vehicle_trip_headsign,departure_time_live,stopSequence_live,stop_live,delay,positionData
2022-11-30 14:33:00,54660,157,RA221129/157/TP-GWI/DP/14.57__,3/9447,1669818758000.0,2.0,3.0,RA221129/157/TP-GWI/DP/14.57__,Gwiaździsta,54818.0,20.0,Muranowska 03,2.6333333333333333,"{'time': 55800, 'stopID': '701803', 'stopName': 'Muranowska 03', 'stopIdx': 20, 'searchedStopIdx': 7, 'type': 'actualStop', 'delay': 158}"
2022-11-30 14:33:00,54420,127,RA221129/127/TP-BRO/DP/14.41__,3/5964,1669818758000.0,7.0,3.0,RA221129/127/TP-BRO/DP/14.41__,Browarna,54998.0,25.0,Al. 3 Maja 02,9.633333333333333,"{'time': 55380, 'stopID': '706402', 'stopName': 'Al. 3 Maja 02', 'stopIdx': 25, 'searchedStopIdx': 17, 'type': 'actualStop', 'delay': 578}"
2022-11-30 14:33:00,54960,521,RA221129/521/TP-FAL-S/DP/15.01,3/9853,1669818758000.0,6.0,3.0,RA221129/521/TP-FAL-S/DP/15.01,Falenica,55415.0,9.0,Muzeum Narodowe 01,7.583333333333333,"{'time': 55503.606820108726, 'stopID': '704101', 'stopName': 'Muzeum Narodowe 01', 'type': 'nextStop', 'stopIdx': 9, 'searchedStopIdx': 6, 'normalizedPercentBetweenStops': 0.686704556159586, 'delay': 455}"
2022-11-30 14:34:00,53880,517,RA221129/517/TP-CEN/DP/14.19__,3/5249,1669818806000.0,9.0,3.0,RA221129/517/TP-URN/DP/15.14__,Ursus - Niedźwiadek,53880.0,4.0,Pl. Narutowicza 02,10.016666666666667,"{'time': 55405.88325200643, 'stopID': '400302', 'stopName': 'Pl. Narutowicza 02', 'type': 'nextStop', 'stopIdx': 4, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.7156937667202601, 'delay': 601}"
2022-11-30 14:34:00,54120,504,RA221129/504/TP-DWC/DP/14.21__,3/8316,1669818814000.0,6.0,3.0,RA221129/504/TP-MKA/DP/15.21__,Os. Kabaty,54120.0,1.0,Dw. Centralny 02,11.966666666666667,"{'time': 55296.502657400604, 'stopID': '700202', 'stopName': 'Dw. Centralny 02', 'type': 'nextStop', 'stopIdx': 1, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.202792541114467, 'delay': 718}"
2022-11-30 14:34:00,53940,158,RA221129/158/TX-OST/DP/14.45__,3/5900,1669818813000.0,6.0,3.0,RA221129/158/TX-OST/DP/14.45__,Witolin,54201.0,24.0,Zamieniecka 04,4.35,"{'time': 55752.8608869797, 'stopID': '210204', 'stopName': 'Zamieniecka 04', 'type': 'nextStop', 'stopIdx': 24, 'searchedStopIdx': 8, 'normalizedPercentBetweenStops': 0.7381160387761051, 'delay': 261}"
2022-11-30 14:34:00,54660,157,RA221129/157/TP-GWI/DP/14.57__,3/9447,1669818816000.0,2.0,3.0,RA221129/157/TP-GWI/DP/14.57__,Gwiaździsta,54876.0,20.0,Muranowska 03,3.6,"{'time': 55800, 'stopID': '701803', 'stopName': 'Muranowska 03', 'stopIdx': 20, 'searchedStopIdx': 7, 'type': 'actualStop', 'delay': 216}"
2022-11-30 14:34:00,54420,127,RA221129/127/TP-BRO/DP/14.41__,3/5964,1669818811000.0,7.0,3.0,RA221129/127/TP-BRO/DP/14.41__,Browarna,54958.0,27.0,Metro Centrum Nauki Kopernik 05,8.966666666666667,"{'time': 55473.185741543224, 'stopID': '707905', 'stopName': 'Metro Centrum Nauki Kopernik 05', 'type': 'nextStop', 'stopIdx': 27, 'searchedStopIdx': 17, 'normalizedPercentBetweenStops': 0.27654784619355804, 'delay': 538}"
2022-11-30 14:34:00,54960,521,RA221129/521/TP-FAL-S/DP/15.01,3/9853,1669818814000.0,6.0,3.0,RA221129/521/TP-FAL-S/DP/15.01,Falenica,55432.0,9.0,Muzeum Narodowe 01,7.866666666666666,"{'time': 55542.58781016924, 'stopID': '704101', 'stopName': 'Muzeum Narodowe 01', 'type': 'nextStop', 'stopIdx': 9, 'searchedStopIdx': 6, 'normalizedPercentBetweenStops': 0.903265612051345, 'delay': 472}"
2022-11-30 14:35:00,53880,517,RA221129/517/TP-CEN/DP/14.19__,3/5249,1669818876000.0,9.0,3.0,RA221129/517/TP-URN/DP/15.14__,Ursus - Niedźwiadek,53880.0,5.0,Hala Kopińska 02,9.5,"{'time': 55506.34785218001, 'stopID': '411602', 'stopName': 'Hala Kopińska 02', 'type': 'nextStop', 'stopIdx': 5, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.368599178777859, 'delay': 570}"
