Miasto,Dzielnica,Powierzchnia,Pokoje,Cena,Cena_m2
Warszawa,Ochota,46.0,1.0,4600.0,100.0
Warszawa,Śródmieście,40.0,2.0,2300.0,57.5
łódzkie,Łódź,48.0,2.0,1800.0,37.5
Warszawa,Bielany,48.0,3.0,1900.0,39.58
Poznań,Wilda,34.0,1.0,690.0,20.29
Kraków,Os. Krowodrza Górka,45.0,2.0,1600.0,35.56
Warszawa,Ursynów,70.0,2.0,3430.0,49.0
dolnośląskie,Wrocław,65.0,2.0,2000.0,30.77
Wrocław,Krzyki,52.0,3.0,1800.0,34.62
Warszawa,Śródmieście,50.0,2.0,4300.0,86.0
Kraków,Krowodrza,34.0,2.0,1650.0,48.53
małopolskie,Kraków,52.0,2.0,1700.0,32.69
Warszawa,Bielany,46.0,2.0,1950.0,42.39
Warszawa,Filtry,56.0,3.0,3700.0,66.07
Warszawa,Mokotów,96.0,3.0,7500.0,78.13
Wrocław,Gaj,48.0,2.0,1700.0,35.42
Warszawa,Mokotów,40.0,2.0,2600.0,65.0
Wrocław,Plac Grunwaldzki,40.23,2.0,2400.0,59.66
Kraków,Os. Ruczaj-Zaborze,16.0,3.0,600.0,37.5
Warszawa,Nowolipki,55.0,4.0,3200.0,58.18
Wrocław,Psie Pole,36.0,1.0,1400.0,38.89
Warszawa,Wola,76.0,3.0,5500.0,72.37
Wrocław,Krzyki,35.0,1.0,2800.0,80.0
Warszawa,Mokotów,100.0,3.0,11500.0,115.0
Kraków,Prądnik Biały,35.0,2.0,1300.0,37.14
Kraków,Grzegórzki,40.0,2.0,2150.0,53.75
Poznań,Górczyn,38.0,2.0,1250.0,32.89
Kraków,Podgórze,88.0,3.0,8900.0,101.14
Warszawa,Wilanów,60.0,2.0,3000.0,50.0
Kraków,Stare Miasto,95.26,3.0,6167.0,64.74
Warszawa,Wola,51.0,2.0,4000.0,78.43
Wrocław,Przedmieście Oławskie,25.0,1.0,2000.0,80.0
Warszawa,Śródmieście,61.0,2.0,4500.0,73.77
wielkopolskie,Poznań,56.0,2.0,3100.0,55.36
Warszawa,Błonia Wilanowskie,95.0,4.0,3800.0,40.0
dolnośląskie,Wrocław,50.0,2.0,2400.0,48.0
Warszawa,Mokotów,57.0,3.0,2000.0,35.09
Warszawa,Śródmieście,35.0,2.0,2700.0,77.14
Gdańsk,Śródmieście,25.32,1.0,2400.0,94.79
Kraków,Prądnik Biały,45.0,2.0,2100.0,46.67
Szczecin,Centrum,37.5,2.0,1600.0,42.67
Warszawa,Mokotów,61.1,2.0,3600.0,58.92
Warszawa,Wola,29.0,1.0,1700.0,58.62
Warszawa,Żoliborz,47.0,2.0,2450.0,52.13
Warszawa,Śródmieście,121.0,4.0,7000.0,57.85
Warszawa,Saska Kępa,40.0,2.0,4800.0,120.0
Gdańsk,Piecki-Migowo,60.0,3.0,2300.0,38.33
Warszawa,Śródmieście,52.0,2.0,3200.0,61.54
pomorskie,Gdańsk,45.0,2.0,1800.0,40.0
Kraków,Krowodrza,36.0,1.0,1350.0,37.5
Warszawa,Ksawerów,180.0,4.0,9900.0,55.0
Kraków,Krowodrza,22.0,1.0,1150.0,52.27
Warszawa,Powiśle,93.0,3.0,5000.0,53.76
Warszawa,Wierzbno,79.0,4.0,4000.0,50.63
Kraków,Krowodrza,31.0,2.0,1200.0,38.71
Poznań,Jeżyce,42.6,2.0,2200.0,51.64
Warszawa,Praga-Południe,13.0,1.0,1300.0,100.0
Kraków,Dębniki,35.0,2.0,1500.0,42.86
Kraków,Grzegórzki,22.0,1.0,1500.0,68.18
Łódź,Górna,36.0,2.0,2000.0,55.56
Kraków,Os. Ruczaj,32.0,1.0,1200.0,37.5
Warszawa,Ochota,61.0,2.0,2500.0,40.98
małopolskie,Kraków,40.0,2.0,1700.0,42.5
Warszawa,Wola,58.0,2.0,3200.0,55.17
Warszawa,Bemowo,40.0,2.0,1650.0,41.25
Warszawa,Mokotów,82.0,3.0,7000.0,85.37
Kraków,Azory,50.0,1.0,1500.0,30.0
Kraków,Stare Miasto,50.0,2.0,2200.0,44.0
Kraków,Os. Podwawelskie,39.0,1.0,1600.0,41.03
Kraków,Krowodrza,57.0,2.0,2500.0,43.86
Warszawa,Muranów,81.0,3.0,4600.0,56.79
Warszawa,Śródmieście,38.0,1.0,3200.0,84.21
Łódź,Bałuty,65.0,2.0,2500.0,38.46
Warszawa,Ochota,17.0,1.0,1700.0,100.0
Warszawa,Śródmieście,53.0,3.0,2750.0,51.89
małopolskie,Kraków,45.0,2.0,1700.0,37.78
Warszawa,Wola,47.0,2.0,2200.0,46.81
Kraków,Stare Miasto,53.0,2.0,1850.0,34.91
Warszawa,Praga-Południe,42.0,2.0,2000.0,47.62
Kraków,Stare Miasto,45.0,2.0,2300.0,51.11
Kraków,Górka Narodowa,32.0,1.0,1200.0,37.5
Kraków,Stare Miasto,50.0,2.0,2100.0,42.0
Łódź,Karolew-Retkinia Wschód,36.0,2.0,1100.0,30.56
Wrocław,Śródmieście,33.0,2.0,1700.0,51.52
Kraków,Podgórze,29.0,1.0,1500.0,51.72
Wrocław,Stare Miasto,170.0,4.0,,58.0
Wrocław,Sępolno,25.0,1.0,700.0,28.0
Warszawa,Śródmieście,91.0,4.0,4700.0,51.65
Warszawa,Mokotów,54.0,2.0,3200.0,59.26
Kraków,Podgórze,53.0,3.0,2800.0,52.83
Kraków,Zakrzówek,33.0,2.0,1300.0,39.39
Warszawa,Włochy,34.0,1.0,1800.0,52.94
Warszawa,Młociny,50.0,2.0,3000.0,60.0
Wrocław,Stare Miasto,40.0,1.0,2000.0,50.0
Warszawa,Mokotów,56.0,2.0,2900.0,51.79
