Miasto,Dzielnica,Powierzchnia,Pokoje,Cena,Cena_m2
Gdańsk,Jelitkowo,120.0,4.0,9998.0,83.32
Kraków,Stare Miasto,67.0,3.0,3000.0,44.78
Szczecin,Centrum,93.0,3.0,3000.0,32.26
Kraków,Kleparz,15.0,1.0,1350.0,90.0
Kraków,Dębniki,133.0,4.0,7400.0,55.64
Kraków,Krowodrza,85.0,4.0,4500.0,52.94
Łódź,Górna,104.0,4.0,3000.0,28.85
Gdańsk,Zaspa,47.0,2.0,2250.0,47.87
Kraków,Stare Miasto,70.0,2.0,2400.0,34.29
Wrocław,Stare Miasto,120.93,3.0,15900.0,131.48
Warszawa,Wawrzyszew,54.0,3.0,2700.0,50.0
Warszawa,Grochów,50.0,2.0,2700.0,54.0
Wrocław,Krzyki,49.0,2.0,1970.0,40.2
Wrocław,Grabiszyn-Grabiszynek,36.78,2.0,1550.0,42.14
Warszawa,Wola,43.0,2.0,2300.0,53.49
Warszawa,Śródmieście,45.0,2.0,2700.0,60.0
Kraków,Dębniki,37.0,1.0,1650.0,44.59
Kraków,Stare Miasto,25.0,1.0,1700.0,68.0
Wrocław,Fabryczna,29.0,1.0,1900.0,65.52
Kraków,Kleparz,69.0,3.0,3150.0,45.65
Warszawa,Mokotów,176.0,4.0,9900.0,56.25
Kraków,Krowodrza,46.0,2.0,1850.0,40.22
małopolskie,Kraków,100.0,3.0,1500.0,15.0
Warszawa,Śródmieście,51.0,2.0,3150.0,61.76
Warszawa,Mokotów,125.0,4.0,10000.0,80.0
Kraków,Podgórze,35.0,1.0,1450.0,41.43
Wrocław,Tarnogaj,40.0,2.0,1900.0,47.5
Kraków,Stare Miasto,55.0,2.0,2400.0,43.64
Łódź,Śródmieście,65.0,3.0,5000.0,76.92
Warszawa,Nowa Praga,45.0,2.0,2600.0,57.78
Kraków,Bronowice,63.0,3.0,2200.0,34.92
Warszawa,Mokotów,124.0,4.0,7500.0,60.48
Warszawa,Mokotów,162.5,5.0,7800.0,48.0
Łódź,Górna,35.0,2.0,1200.0,34.29
brak,,26.0,1.0,1300.0,50.0
Kraków,Grzegórzki,44.53,2.0,1800.0,40.42
Warszawa,Ursynów,37.0,1.0,2000.0,54.05
Kraków,Dębniki,43.0,2.0,3950.0,91.86
Gdańsk,Śródmieście,58.0,2.0,2300.0,39.66
Szczecin,Centrum,35.0,1.0,1450.0,41.43
Kraków,Stare Miasto,43.0,2.0,2100.0,48.84
Wrocław,Huby,60.0,3.0,2100.0,35.0
Łódź,Śródmieście,65.0,2.0,2400.0,36.92
Wrocław,Stare Miasto,47.0,2.0,1800.0,38.3
Poznań,Jeżyce,37.0,2.0,1200.0,32.43
Warszawa,Mokotów,32.0,1.0,1700.0,53.13
Warszawa,Targówek,33.0,2.0,2000.0,60.61
mazowieckie,Warszawa,215.0,4.0,11000.0,51.16
Warszawa,Wilanów,75.0,3.0,4300.0,57.33
Warszawa,Ursynów,74.0,4.0,3600.0,48.65
Poznań,Wilda,27.0,1.0,1500.0,55.56
Kraków,Prądnik Biały,60.0,3.0,2400.0,40.0
Warszawa,Białołęka,51.0,3.0,1950.0,38.24
Łódź,Polesie,57.0,2.0,2200.0,38.6
Wrocław,Popowice,62.0,3.0,1900.0,30.65
Wrocław,Gądów Mały,60.0,2.0,1900.0,31.67
Poznań,Grunwald,75.0,3.0,3500.0,46.67
Warszawa,Śródmieście,38.3,2.0,2810.0,73.37
Kraków,Kazimierz,42.0,,2900.0,69.05
Warszawa,Śródmieście,59.0,2.0,2990.0,50.68
małopolskie,Kraków,50.0,2.0,1900.0,38.0
Wrocław,Śródmieście,47.55,2.0,1999.0,42.04
Warszawa,Mokotów,71.0,3.0,3200.0,45.07
Wrocław,Krzyki,54.0,2.0,2040.0,37.78
Kraków,Krowodrza,20.0,1.0,1250.0,62.5
Gdańsk,Dolne Miasto,40.0,2.0,1800.0,45.0
Gdańsk,Stare Miasto,50.0,2.0,2100.0,42.0
Warszawa,Mokotów,55.0,2.0,2800.0,50.91
Warszawa,Targówek,40.0,2.0,1800.0,45.0
Warszawa,Ksawerów,30.0,1.0,1800.0,60.0
Warszawa,Mokotów,74.0,3.0,4000.0,54.05
Gdańsk,Stare Miasto,50.0,2.0,2500.0,50.0
Kraków,Stare Miasto,83.0,3.0,5300.0,63.86
Kraków,Krowodrza,60.0,3.0,2100.0,35.0
Kraków,Krowodrza,80.0,3.0,2650.0,33.13
Warszawa,Ochota,51.29,2.0,2100.0,40.94
Kraków,Salwator,36.2,2.0,1850.0,51.1
Warszawa,Śródmieście,30.65,2.0,1700.0,55.46
Wrocław,Maślice,57.0,3.0,2000.0,35.09
małopolskie,Kraków,39.0,2.0,2300.0,58.97
Warszawa,Ursynów,68.0,3.0,3100.0,45.59
Kraków,Azory,80.0,3.0,2500.0,31.25
Warszawa,Szczęśliwice,70.0,3.0,2800.0,40.0
Łódź,Bałuty,34.0,2.0,1800.0,52.94
Łódź,Śródmieście,37.7,1.0,1400.0,37.14
Warszawa,Wilanów,120.0,3.0,4500.0,37.5
Warszawa,Mokotów,30.0,1.0,2300.0,76.67
Warszawa,Mokotów,79.0,3.0,4000.0,50.63
Łódź,Śródmieście,48.6,2.0,2000.0,41.15
Wrocław,Stare Miasto,107.0,3.0,6500.0,60.75
Kraków,Ludwinów,37.0,2.0,1750.0,47.3
Kraków,Mistrzejowice,49.0,3.0,1800.0,36.73
Kraków,Czyżyny,58.0,3.0,3000.0,51.72
Warszawa,Saska Kępa,140.0,6.0,6950.0,49.64
Warszawa,Bielany,46.0,2.0,2600.0,56.52
małopolskie,Kraków,42.0,2.0,2390.0,56.9
Warszawa,Mokotów,65.0,3.0,3500.0,53.85
Warszawa,Stare Miasto,32.0,1.0,2200.0,68.75
Kraków,Krowodrza,75.0,3.0,3000.0,40.0
Warszawa,Ursynów,105.0,5.0,4500.0,42.86
mazowieckie,Warszawa,55.0,2.0,2700.0,49.09
Kraków,Stare Miasto,35.0,2.0,2200.0,62.86
Gdańsk,Chełm,40.0,2.0,1900.0,47.5
Warszawa,Powiśle,59.0,2.0,3400.0,57.63
Kraków,Os. Ruczaj,31.0,1.0,1500.0,48.39
Kraków,Stare Miasto,33.0,1.0,1800.0,54.55
Warszawa,Bemowo,41.0,2.0,2700.0,65.85
Kraków,Stare Miasto,30.0,1.0,1800.0,60.0
Warszawa,Mokotów,45.1,1.0,2300.0,51.0
Warszawa,Ochota,18.0,1.0,1500.0,83.33
Kraków,Łobzów,36.0,2.0,1400.0,38.89
Kraków,Podgórze,42.0,2.0,2100.0,50.0
Kraków,Stare Miasto,40.0,2.0,2100.0,52.5
Warszawa,Stare Bielany,35.0,1.0,1700.0,48.57
Kraków,Stare Miasto,75.0,2.0,3000.0,40.0
Warszawa,Czyste,31.0,1.0,1650.0,53.23
Warszawa,Wola,70.0,3.0,4000.0,57.14
Wrocław,Śródmieście,37.0,2.0,1650.0,44.59
Kraków,Nowa Huta,32.0,1.0,1400.0,43.75
Kraków,Dębniki,52.0,2.0,1400.0,26.92
Warszawa,Bemowo,65.0,3.0,1750.0,26.92
Kraków,Stare Miasto,66.0,3.0,2300.0,34.85
małopolskie,Kraków,55.0,2.0,2300.0,41.82
Kraków,Stare Miasto,35.0,1.0,1600.0,45.71
Łódź,Śródmieście,57.63,3.0,2300.0,39.91
Poznań,Stare Miasto,29.55,2.0,1850.0,62.61
pomorskie,Gdańsk,53.0,2.0,2400.0,45.28
Warszawa,Żoliborz,48.0,3.0,2300.0,47.92
Gdańsk,Wrzeszcz,59.0,3.0,3200.0,54.24
Warszawa,Wierzbno,50.0,2.0,2800.0,56.0
wielkopolskie,Poznań,86.1,3.0,4500.0,52.26
Warszawa,Ochota,45.0,2.0,2470.0,54.89
Warszawa,Ochota,102.0,4.0,4000.0,39.22
Kraków,Os. Ruczaj,50.0,2.0,2350.0,47.0
Warszawa,Stare Miasto,24.0,1.0,1800.0,75.0
Kraków,Stare Miasto,65.0,2.0,2200.0,33.85
Kraków,Stare Miasto,95.0,2.0,2500.0,26.32
małopolskie,Kraków,90.0,4.0,3900.0,43.33
Warszawa,Śródmieście,58.0,2.0,7500.0,129.31
Kraków,Podgórze,70.0,2.0,8500.0,121.43
Warszawa,Kabaty,47.0,2.0,2300.0,48.94
Poznań,Grunwald,46.2,2.0,1500.0,32.47
Warszawa,Wola,71.6,3.0,3500.0,48.88
Warszawa,Ursynów,86.0,3.0,3800.0,44.19
Kraków,Stare Miasto,68.62,2.0,2100.0,30.6
Kraków,Olsza,56.0,2.0,1850.0,33.04
Kraków,Podgórze,63.0,3.0,2500.0,39.68
Kraków,Zabłocie,43.0,2.0,2000.0,46.51
Warszawa,Powiśle,100.0,3.0,6000.0,60.0
Kraków,Stare Miasto,135.0,4.0,10500.0,77.78
Kraków,Mydlniki,41.0,2.0,1600.0,39.02
Warszawa,Ursynów,61.0,2.0,2700.0,44.26
Warszawa,Praga-Południe,98.14,4.0,3000.0,30.57
Gdańsk,Przymorze,39.2,2.0,2300.0,58.67
Kraków,Bronowice,96.0,3.0,3000.0,31.25
Warszawa,Śródmieście,46.0,2.0,2990.0,65.0
Łódź,Widzew,37.0,1.0,1400.0,37.84
Warszawa,Włochy,47.6,2.0,2600.0,54.62
Warszawa,Mirów,60.0,2.0,2800.0,46.67
wielkopolskie,Poznań,62.0,3.0,2700.0,43.55
Kraków,Bronowice,67.0,2.0,2600.0,38.81
Gdańsk,Przymorze,33.0,4.0,2500.0,75.76
Kraków,Kazimierz,36.0,2.0,1650.0,45.83
