"Nr OKW";"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Andrzej Sebastian DUDA";"Rafał Kazimierz TRZASKOWSKI";"Liczba obwodów"
47;"300100";"chodzieski";"wielkopolskie";34020;36237;9672;24348;41;409;125;117;3;0;0;0;114;24462;114;0;24462;213;125;88;"";24249;9534;14715;36
47;"300200";"czarnkowsko-trzcianecki";"wielkopolskie";62180;66619;18876;43304;39;854;340;329;3;0;0;0;326;43627;326;0;43627;340;185;155;"";43287;19536;23751;61
45;"300300";"gnieźnieński";"wielkopolskie";103662;111104;28918;74745;63;1255;608;594;10;5;2;0;577;75318;577;5;75313;602;358;244;"";74711;35281;39430;92
46;"300400";"gostyński";"wielkopolskie";54233;58630;17606;36678;17;363;505;495;8;0;4;1;482;37159;482;2;37157;346;199;147;"";36811;21447;15364;58
43;"300500";"grodziski";"wielkopolskie";36463;39133;10839;25625;20;299;220;214;3;2;0;0;209;25834;210;0;25834;253;138;115;"";25581;13447;12134;30
44;"300600";"jarociński";"wielkopolskie";51055;54736;15252;35803;18;414;334;331;6;2;1;0;322;36125;322;1;36124;312;177;135;"";35812;20240;15572;37
44;"300700";"kaliski";"wielkopolskie";59914;65605;16111;43802;56;447;499;487;17;0;9;0;461;44264;461;0;44264;434;258;176;"";43830;29489;14341;62
44;"300800";"kępiński";"wielkopolskie";34549;43493;9869;24679;28;497;4642;4499;152;1;6;3;4337;29018;4337;0;29018;209;115;94;"";28809;15222;13587;43
45;"300900";"kolski";"wielkopolskie";63623;67938;19534;44089;48;620;341;333;12;1;1;0;319;44406;319;2;44404;359;192;167;"";44045;29921;14124;62
45;"301000";"koniński";"wielkopolskie";93801;102839;25174;68624;110;1732;548;526;14;0;3;0;509;69131;509;1;69130;620;383;237;"";68510;46776;21734;96
46;"301100";"kościański";"wielkopolskie";57240;61284;16363;40877;13;510;368;363;7;2;2;0;355;41230;355;2;41228;362;206;156;"";40866;20086;20780;53
44;"301200";"krotoszyński";"wielkopolskie";54522;59050;16563;37959;41;454;434;418;8;0;0;0;410;38366;410;1;38365;328;196;132;"";38037;21501;16536;45
46;"301300";"leszczyński";"wielkopolskie";40408;44542;10629;29779;9;995;213;205;6;1;0;1;197;29976;197;0;29976;256;141;115;"";29720;14325;15395;39
43;"301400";"międzychodzki";"wielkopolskie";26244;29065;7429;18815;13;674;127;123;6;0;0;0;117;18932;117;0;18932;138;69;69;"";18794;7720;11074;22
43;"301500";"nowotomyski";"wielkopolskie";52173;57387;13020;39153;22;619;219;214;0;0;2;0;212;39362;212;3;39359;328;210;118;"";39031;16737;22294;49
43;"301600";"obornicki";"wielkopolskie";40896;44606;11045;29852;6;453;227;225;4;0;0;0;221;30072;221;2;30070;246;135;111;"";29824;12543;17281;46
44;"301700";"ostrowski";"wielkopolskie";116422;124958;32260;84162;85;934;679;651;12;0;1;0;638;84793;638;6;84787;667;406;261;"";84120;43455;40665;110
44;"301800";"ostrzeszowski";"wielkopolskie";39401;43444;11089;28313;17;479;619;607;35;1;0;3;568;28879;568;7;28872;241;132;109;"";28631;15789;12842;55
47;"301900";"pilski";"wielkopolskie";95310;102006;28008;67301;68;1327;525;502;8;2;3;0;489;67786;489;3;67783;600;356;244;"";67183;29249;37934;82
44;"302000";"pleszewski";"wielkopolskie";45184;48722;13006;32177;44;386;358;352;9;0;0;0;343;32519;343;2;32517;281;177;104;"";32236;18506;13730;54
43;"302100";"poznański";"wielkopolskie";271479;296370;47096;224369;130;4903;2476;2366;42;2;7;2;2313;226666;2313;16;226650;1963;1219;744;"";224687;73009;151678;206
46;"302200";"rawicki";"wielkopolskie";43484;46565;14069;29415;23;328;280;262;16;0;6;0;240;29652;240;1;29651;257;146;111;"";29394;15078;14316;43
45;"302300";"słupecki";"wielkopolskie";44074;47761;12922;31153;41;1083;186;175;3;0;0;0;172;31327;172;3;31324;221;124;97;"";31103;18236;12867;42
43;"302400";"szamotulski";"wielkopolskie";65479;71074;16966;48514;76;789;346;341;5;2;2;0;332;48839;332;3;48836;430;258;172;"";48406;20009;28397;55
45;"302500";"średzki";"wielkopolskie";41954;45068;11631;30323;6;316;222;216;3;0;0;0;213;30530;213;0;30530;305;168;137;"";30225;14969;15256;39
45;"302600";"śremski";"wielkopolskie";43029;46781;12010;31018;14;442;212;206;7;0;1;0;198;31212;198;1;31211;306;204;102;"";30905;14786;16119;36
45;"302700";"turecki";"wielkopolskie";60950;65773;17719;43229;46;463;467;444;11;2;0;1;430;43660;430;1;43659;376;226;150;"";43283;28868;14415;58
47;"302800";"wągrowiecki";"wielkopolskie";49482;53313;14839;34643;24;620;227;219;1;0;2;0;216;34859;216;0;34859;282;163;119;"";34577;16326;18251;47
43;"302900";"wolsztyński";"wielkopolskie";40181;44306;9258;30923;22;1013;126;123;13;0;0;0;110;31032;110;0;31032;357;209;148;"";30675;14675;16000;41
45;"303000";"wrzesiński";"wielkopolskie";54782;59459;14397;40386;28;475;312;297;4;0;0;0;293;40677;292;4;40673;315;191;124;"";40358;20589;19769;52
47;"303100";"złotowski";"wielkopolskie";49984;53195;17991;31992;25;649;224;216;4;0;0;2;210;32201;210;4;32197;257;144;113;"";31940;14746;17194;48
44;"306100";"Kalisz";"wielkopolskie";71738;74433;20202;51533;30;797;392;382;5;0;0;0;377;51904;377;3;51901;399;249;150;"";51502;21119;30383;55
45;"306200";"Konin";"wielkopolskie";54410;57280;15407;39002;6;554;279;276;0;1;0;1;274;39279;274;1;39278;292;169;123;"";38986;18860;20126;47
46;"306300";"Leszno";"wielkopolskie";45486;46988;12414;33072;29;483;296;291;4;0;0;0;287;33354;286;8;33346;312;176;136;"";33034;11226;21808;34
43;"306400";"Poznań";"wielkopolskie";377058;411294;70489;306625;147;7971;4013;3771;57;23;12;4;3677;310279;3678;29;310250;2694;1627;1067;"";307556;86290;221266;251
49;"320100";"białogardzki";"zachodniopomorskie";33711;35833;12707;21004;17;287;194;190;1;4;0;0;185;21190;185;1;21189;176;101;75;"";21013;9503;11510;35
49;"320200";"choszczeński";"zachodniopomorskie";32531;37447;10551;21972;35;581;120;111;7;1;0;0;103;22075;103;0;22075;166;91;75;"";21909;10747;11162;37
49;"320300";"drawski";"zachodniopomorskie";42070;45419;14774;27295;40;1463;142;135;5;0;0;3;127;27421;127;0;27421;201;92;109;"";27220;12174;15046;51
48;"320400";"goleniowski";"zachodniopomorskie";59085;64509;19031;40054;29;652;271;261;6;0;1;0;254;40303;254;1;40302;367;210;157;"";39935;17601;22334;51
48;"320500";"gryficki";"zachodniopomorskie";55171;59476;15154;40016;43;10102;270;264;2;0;1;1;260;40270;260;1;40269;263;127;136;"";40006;16715;23291;45
48;"320600";"gryfiński";"zachodniopomorskie";57969;62701;19118;38860;39;691;300;285;13;0;0;1;271;39130;271;3;39127;351;206;145;"";38776;19046;19730;62
48;"320700";"kamieński";"zachodniopomorskie";43644;48668;9688;33954;16;9488;203;196;4;0;0;0;192;34146;192;1;34145;190;105;85;"";33955;13147;20808;43
49;"320800";"kołobrzeski";"zachodniopomorskie";72448;78463;16126;56323;45;14631;307;295;5;0;5;0;285;56595;285;14;56581;374;190;184;"";56207;21819;34388;53
49;"320900";"koszaliński";"zachodniopomorskie";57376;63762;13773;43602;40;10006;206;199;3;0;0;0;196;43795;196;1;43794;326;184;142;"";43468;17722;25746;62
48;"321000";"myśliborski";"zachodniopomorskie";46548;50165;16146;30402;33;576;199;188;1;0;1;0;186;30588;186;1;30587;206;97;109;"";30381;13750;16631;53
48;"321100";"policki";"zachodniopomorskie";53668;58100;13002;40666;31;1009;406;392;3;1;2;1;387;41050;387;6;41044;350;215;135;"";40694;14194;26500;43
48;"321200";"pyrzycki";"zachodniopomorskie";28127;30372;9772;18355;23;238;144;143;0;2;0;0;141;18497;142;4;18493;155;78;77;"";18338;10568;7770;27
49;"321300";"sławieński";"zachodniopomorskie";51498;54886;14006;37492;27;9562;203;199;8;0;3;2;186;37678;186;0;37678;261;153;108;"";37417;16419;20998;45
48;"321400";"stargardzki";"zachodniopomorskie";84212;91185;25086;59125;70;1078;546;528;14;0;2;0;512;59632;511;2;59630;468;234;234;"";59162;26550;32612;75
49;"321500";"szczecinecki";"zachodniopomorskie";54569;59455;18638;35931;41;1410;352;340;13;0;0;0;327;36255;327;2;36253;278;161;117;"";35975;16825;19150;51
49;"321600";"świdwiński";"zachodniopomorskie";34706;35989;13705;21001;27;793;148;145;5;2;1;0;137;21137;137;0;21137;165;88;77;"";20972;10218;10754;37
49;"321700";"wałecki";"zachodniopomorskie";36627;40538;11453;25174;31;788;142;141;2;0;0;1;138;25309;138;3;25306;186;106;80;"";25120;10437;14683;37
48;"321800";"łobeski";"zachodniopomorskie";25226;27963;9174;16052;22;339;136;134;16;0;0;1;117;16169;117;0;16169;122;55;67;"";16047;7793;8254;29
49;"326100";"Koszalin";"zachodniopomorskie";82250;80659;26380;55870;31;1492;697;666;18;1;1;0;646;56506;646;0;56506;430;233;197;"";56076;19766;36310;53
48;"326200";"Szczecin";"zachodniopomorskie";270263;291294;66945;203296;143;4182;2071;1977;36;5;8;4;1924;205183;1924;38;205145;1751;1084;667;"";203394;73873;129521;207
48;"326300";"Świnoujście";"zachodniopomorskie";32911;34480;8661;24247;21;3658;148;136;3;0;2;1;130;24361;130;2;24359;215;131;84;"";24144;8229;15915;27
