offer_id,title,address,Cena,Powierzchnia,Forma_własności,Liczba_pokoi,Stan_wykończenia,Piętro,Balkon_ogród_taras,Czynsz,Miejsce_parkingowe,Obsługa_zdalna,Ogrzewanie,Rynek,Typ_ogłoszeniodawcy,Dostępne_od,Rok_budowy,Rodzaj_zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje_dodatkowe,Materiał_budynku,district
ID46VC2,"Mieszkanie, 138,08 m², Warszawa","Warszawa, Śródmieście, al. Jana Chrystiana Szucha",2880000.0,138.08,,4,do zamieszkania,6/6,balkon,zapytaj,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1910,kamienica,,tak,"telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,cegła,ŚRÓDMIEŚCIE
ID4f2Dn,Mieszkanie trzy pokojowe na parterze z ogrodem.,"Warszawa, Białołęka, Tarchomin, Mehoffera",723000.0,62.0,pełna własność,3,do zamieszkania,parter/4,ogródek,zapytaj,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,2020,apartamentowiec,,tak,brak informacji,brak informacji,brak informacji,brak informacji,inne,BIAŁOŁĘKA
ID4gbwH,"Dwa pokoje + kuchnia, 54 m2, Bielany","Warszawa, Bielany",590000.0,54.0,,2,do remontu,9/10,,zapytaj,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1980,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,BIELANY
ID4g8Il,"3 pokojowe mieszkanie, bardzo wysoki standard","Warszawa, Białołęka, ul. Ćmielowska",790000.0,53.7,spółdzielcze własnościowe,3,do zamieszkania,5/6,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,prywatny,,2002,blok,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",brak informacji,,BIAŁOŁĘKA
ID4fc0a,0 % prowizji!! Wykończone 3pokojowe mieszkanie,"Warszawa, Wawer, Minerska",799000.0,78.9,,3,,1/3,,740 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,2022-02-02,2007,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,WAWER
ID4ggdk,3 pokojowe z dużym balkonem i garażem - Bemowo,"Warszawa, Bemowo",1270000.0,80.04,pełna własność,3,do zamieszkania,1/2,balkon,700 zł,garaż/miejsce parkingowe,zapytaj,,wtórny,biuro nieruchomości,,2012,,plastikowe,tak,"telewizja kablowa, internet",brak informacji,meble,brak informacji,cegła,BEMOWO
ID4fLn2,Apartamentowiec na Żoliborzu 102m2 blisko metra.,"Warszawa, Żoliborz",1490000.0,102.0,pełna własność,3,,> 10/13,,1 600 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2000,apartamentowiec,drewniane,tak,brak informacji,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,piwnica,cegła,ŻOLIBORZ
ID4fEox,2-pokojowe mieszkanie 41m2 + balkon Bez Prowizji,"Warszawa, mazowieckie",,41.33,pełna własność,2,do wykończenia,6/7,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,MAZOWIECKIE
ID4g4HY,"Mieszkanie, 50 m2, Warszawa-Wola,Metro,Po remoncie","Warszawa, Wola, Danuty Siedzikówny ""Inki""",589000.0,49.5,pełna własność,3,do zamieszkania,3/3,balkon,350 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1961,blok,plastikowe,nie,"telewizja kablowa, internet, telefon",monitoring / ochrona,meble,"piwnica, oddzielna kuchnia",cegła,WOLA
ID4fiwY,2-pokojowe mieszkanie 43m2 + balkon Bezpośrednio,"Warszawa, Ochota",,43.08,pełna własność,2,do wykończenia,4/6,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,OCHOTA
ID4eB6t,2-pokojowe mieszkanie 37m2 + ogródek Bez Prowizji,"Warszawa, Mokotów",571317.0,37.0,pełna własność,2,do wykończenia,parter/10,"taras, ogródek",zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2022,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,MOKOTÓW
ID4g8wj,2 pokojowy apartament przy ul. Nowaka-Jeziorańskie,"Warszawa, Praga-Południe, Gocław",680000.0,40.05,,2,do zamieszkania,4/5,balkon,500 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2017,apartamentowiec,plastikowe,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,brak informacji,,PRAGA-POŁUDNIE
ID4fPlS,Wilanów-Klimczaka | 140m2 | 4pokoje | balkon | LUX,"Warszawa, Wilanów, ul. Franciszka Klimczaka",2720000.0,140.0,pełna własność,4,do zamieszkania,1/3,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,brak informacji,apartamentowiec,,tak,brak informacji,"teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",brak informacji,,WILANÓW
ID4g4lo,Słoneczna kawalerka_oddz. kuchnia_Śródmieście,"Warszawa, Śródmieście",395000.0,25.0,,1,do remontu,6/10,,443 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1967,blok,plastikowe,tak,"telewizja kablowa, internet, telefon",brak informacji,brak informacji,oddzielna kuchnia,,ŚRÓDMIEŚCIE
ID4fk1c,3-pokojowe mieszkanie 69m2 + balkon Bez Prowizji,"Warszawa, Praga-Południe",,69.78,pełna własność,3,do wykończenia,3/4,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2024,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,PRAGA-POŁUDNIE
