offer_id,title,address,Cena,Powierzchnia,Forma_własności,Liczba_pokoi,Stan_wykończenia,Piętro,Balkon_ogród_taras,Czynsz,Miejsce_parkingowe,Obsługa_zdalna,Ogrzewanie,Rynek,Typ_ogłoszeniodawcy,Dostępne_od,Rok_budowy,Rodzaj_zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje_dodatkowe,Materiał_budynku,district
ID4aRPX,Apartament z ogromnym tarasem na Ochocie.,"Warszawa, Ochota, Stara Ochota, Grójecka",2300000.0,106.0,pełna własność,2,do zamieszkania,> 10/11,"balkon, taras",800 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,2022-04-22,2005,apartamentowiec,,tak,"internet, telefon",monitoring / ochrona,"zmywarka, lodówka, kuchenka, pralka",pom. użytkowe,,OCHOTA
ID4fHXV,Trzy pokoje przy al. Wilanowskiej,"Warszawa, Mokotów, Aleja Wilanowska",1600000.0,78.0,pełna własność,3,,3/8,balkon,zapytaj,garaż/miejsce parkingowe,tak,miejskie,wtórny,biuro nieruchomości,2022-04-01,2002,apartamentowiec,,tak,brak informacji,"teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,,MOKOTÓW
ID4cscO,3-pokojowe mieszkanie 89m2 + 2 balkony,"Warszawa, mazowieckie",,89.84,pełna własność,3,do wykończenia,3/8,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,MAZOWIECKIE
ID4fGvJ,"M2 stary mokotów, klimatyczna kamienica odnowiona!","Warszawa, Mokotów, Górny Mokotów, ul. Belgijska",790000.0,47.9,pełna własność,2,do zamieszkania,1/6,balkon,500 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1966,kamienica,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka",piwnica,cegła,MOKOTÓW
ID4fIrV,mieszkania w idealnej lokalizacji! Promocja 10/90,"Warszawa, Ursynów",,37.1,,2,,4/4,,zapytaj,zapytaj,zapytaj,,pierwotny,biuro nieruchomości,,brak informacji,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,URSYNÓW
ID4gbKF,MieszkanieKamienica/TarasNaDachu/MiejsceParkingowe,"Warszawa, Żoliborz, Stary Żoliborz",1646000.0,99.0,pełna własność,3,do remontu,zapytaj,"balkon, taras",1 200 zł,garaż/miejsce parkingowe,zapytaj,,wtórny,biuro nieruchomości,,1931,kamienica,drewniane,nie,brak informacji,teren zamknięty,brak informacji,"piwnica, oddzielna kuchnia",,ŻOLIBORZ
ID4giSK,Ostatnie/widna kuchnia/10min do centrum/blisko SKM,"Warszawa, Ochota, Szczęśliwice",549000.0,47.0,pełna własność,1,do wykończenia,1/4,,zapytaj,zapytaj,zapytaj,gazowe,pierwotny,biuro nieruchomości,,2022,blok,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,cegła,OCHOTA
ID4fZIY,"Rondo Daszyńskiego, 3 pokoje, 52,86m2, Ivq2023","Warszawa, Wola, Czyste",878000.0,52.86,pełna własność,3,do wykończenia,2/8,,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2023,apartamentowiec,,tak,brak informacji,monitoring / ochrona,brak informacji,brak informacji,cegła,WOLA
ID4aZCH,"Twoje Nowe mieszkanie Bogusławskiego, nr 19","Warszawa, Bielany, ul. Wojciecha Bogusławskiego",,52.63,,2,do wykończenia,3/5,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,deweloper,,2023,apartamentowiec,,tak,internet,"domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,,BIELANY
ID4g9Mz,"Ładne mieszkanie na Pradze-Południe 37,5 m2","Warszawa, Praga-Południe",479000.0,37.5,spółdzielcze własnościowe,2,do zamieszkania,3/4,balkon,390 zł,zapytaj,zapytaj,miejskie,wtórny,prywatny,,1964,blok,plastikowe,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka",piwnica,,PRAGA-POŁUDNIE
ID4gmNt,3-Pok/Do Zamieszkania/Metro Onz/Taras,"Warszawa, Wola, Mirów, Krochmalna",1120000.0,78.29,,3,do zamieszkania,4/10,taras,1 103 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2000,apartamentowiec,,tak,brak informacji,monitoring / ochrona,brak informacji,"piwnica, oddzielna kuchnia, pom. użytkowe",cegła,WOLA
ID4eMs6,3 pokojowe mieszkanie do adaptacji,"Warszawa, Praga-Południe, Saska Kępa",599000.0,57.0,pełna własność,3,,3/10,balkon,600 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1966,blok,plastikowe,tak,"telewizja kablowa, internet, telefon",brak informacji,brak informacji,piwnica,,PRAGA-POŁUDNIE
ID4fCF1,5 Pokoi - Futurystyczna Inwestycja - Las Kabacki -,"Warszawa, Ursynów, Kabaty",2190200.0,123.0,pełna własność,5,,2/4,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2022,blok,drewniane,tak,"internet, telefon",brak informacji,brak informacji,brak informacji,,URSYNÓW
ID4eZ70,2-pokojowe mieszkanie 46m2 + ogródek,"Warszawa, Bielany",554880.0,46.24,pełna własność,2,do wykończenia,parter/2,ogródek,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,BIELANY
ID4g77z,Apartament 3 Pok Pod Klucz !/Świetna Lokalizacja !,"Warszawa, Mokotów",,62.21,pełna własność,3,,7/8,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,inne,pierwotny,biuro nieruchomości,,2022,apartamentowiec,,tak,internet,brak informacji,brak informacji,brak informacji,,MOKOTÓW
ID4cU44,3-pokojowe mieszkanie 62m2 + loggia Bez Prowizji,"Warszawa, Ursus",,62.5,pełna własność,3,do wykończenia,6/11,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,URSUS
ID4fgWv,Mały apartament z aneksem kuchennym i balkonem,"Warszawa, Ursynów, ul. Puławska",239559.0,16.99,pełna własność,1,do wykończenia,1/4,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2022,blok,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,URSYNÓW
ID4gm5O,Przestronne M4 dla rodziny/ na inwestycje,"Warszawa, Praga-Południe, Gocław",600000.0,62.0,,3,,8,balkon,zapytaj,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1980,blok,,tak,internet,brak informacji,brak informacji,brak informacji,cegła,PRAGA-POŁUDNIE
ID4cAzt,"Mieszkanie, 146,14 m², Warszawa","Warszawa, Ursynów, Gawota",1560000.0,146.14,,5,do zamieszkania,1/2,balkon,zapytaj,zapytaj,zapytaj,gazowe,wtórny,biuro nieruchomości,,2008,apartamentowiec,,nie,brak informacji,"teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,cegła,URSYNÓW
ID4d7C1,1-pokojowy lokal inwestycyjny 21m2 Bezpośrednio,"Warszawa, Mokotów",,21.18,pełna własność,1,do wykończenia,4/7,,zapytaj,zapytaj,Wirtualny spacer,,,,,,,,,,,,,,MOKOTÓW
ID4dDRe,Rewelacyjna Oferta Dla Rodziny Lub Na Inwestycję,"Warszawa, Bielany, Wawrzyszew, Czechowa",635000.0,54.5,,3,,9/10,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,1975,blok,plastikowe,tak,"telewizja kablowa, internet, telefon",brak informacji,brak informacji,"piwnica, oddzielna kuchnia",,BIELANY
ID4cD3n,3-pokojowe mieszkanie 61m2 + balkon Bezpośrednio,"Warszawa, Białołęka",,61.27,pełna własność,3,do wykończenia,5/7,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,BIAŁOŁĘKA
ID4c6GC,Nowoczesny Apartament Towarowa Towers A.213,"Warszawa, Wola, ul. Towarowa",939124.0,45.1,,2,,> 10,,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,deweloper,,2024,apartamentowiec,,tak,brak informacji,brak informacji,brak informacji,brak informacji,,WOLA
ID4fBel,Apartament na VII piętrze w sieciowym hotelu,"Warszawa, mazowieckie",807580.0,54.2,,1,do zamieszkania,7/7,,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,biuro nieruchomości,,2022,,,tak,brak informacji,monitoring / ochrona,brak informacji,brak informacji,,MAZOWIECKIE
ID4edqA,Solidne 3-Pok. Mieszkanie Na Białołęce,"Warszawa, Białołęka, Żeglugi Wiślanej",629000.0,68.2,pełna własność,3,do zamieszkania,parter/3,balkon,570 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2009,blok,plastikowe,nie,"telewizja kablowa, internet, telefon",monitoring / ochrona,brak informacji,brak informacji,,BIAŁOŁĘKA
ID4fVcl,2-pokojowe mieszkanie 39m2 + loggia,"Warszawa, Wola",,39.37,pełna własność,2,do wykończenia,1/8,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,WOLA
ID4gp3Y,"Kamienica Stara Ochota, 2pok + garderoba, premium","Warszawa, Ochota, Stara Ochota, ul. Szczęśliwicka 19",648000.0,36.0,pełna własność,2,do zamieszkania,1/4,,350 zł,zapytaj,Wirtualny spacer,miejskie,wtórny,prywatny,,1954,kamienica,plastikowe,nie,brak informacji,"teren zamknięty, domofon / wideofon","zmywarka, piekarnik, kuchenka",piwnica,cegła,OCHOTA
ID4fCAL,Mieszkanie 2-pokojowe na Bielanach blisko metra.,"Warszawa, Bielany, Słodowiec",510000.0,36.6,pełna własność,2,,1/3,balkon,560 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1960,blok,plastikowe,nie,brak informacji,domofon / wideofon,brak informacji,piwnica,cegła,BIELANY
ID4g8K7,Apartament ul. Herbu Janina - Dzielnica Wilanow,"Warszawa, Wilanów, ul. Herbu Janina",979000.0,63.0,pełna własność,3,do zamieszkania,1/4,balkon,670 zł,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2021,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka",piwnica,inne,WILANÓW
ID4gneG,"3pok., 2min. od Metra z widokiem na Park","Warszawa, Targówek, Pratulińska",648000.0,52.0,pełna własność,3,,parter/4,"balkon, taras",zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2010,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",meble,piwnica,cegła,TARGÓWEK
ID4dV0E,"Mieszkanie 63,26m2, 3 pok., Wola, Nowolipki","Warszawa, Wola, Nowolipki",899000.0,63.26,pełna własność,3,do zamieszkania,4/4,balkon,696 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1956,blok,plastikowe,nie,brak informacji,brak informacji,brak informacji,piwnica,,WOLA
ID4a2Na,Mennica Residence / 2 lub 3 pok. / Panoramiczne ok,"Warszawa, Śródmieście, Grzybowska",1220610.0,53.07,pełna własność,2,do wykończenia,4/8,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2020,apartamentowiec,drewniane,tak,brak informacji,monitoring / ochrona,brak informacji,brak informacji,silikat,ŚRÓDMIEŚCIE
ID4fzFN,Luksusowe czteropokojowe na Pradze Południe,"Warszawa, Praga-Południe, Gocław",1290000.0,81.5,pełna własność,4,,2/8,,900 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,2022-07-01,2019,blok,plastikowe,tak,telewizja kablowa,domofon / wideofon,brak informacji,piwnica,silikat,PRAGA-POŁUDNIE
ID4fLNu,Kawalerka po generalnym remoncie/ Pilnie sprzedam,"Warszawa, Praga-Południe, ul. Kobielska",289000.0,18.0,pełna własność,1,do zamieszkania,parter/3,,300 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1930,kamienica,plastikowe,nie,brak informacji,domofon / wideofon,"lodówka, meble, piekarnik, kuchenka",piwnica,cegła,PRAGA-POŁUDNIE
ID4fZMw,"Piękne 37m2 2 pokoje, wykończenie ""pod klucz"" !","Warszawa, Rembertów",462000.0,36.93,pełna własność,2,do zamieszkania,3/4,balkon,zapytaj,zapytaj,tak,miejskie,pierwotny,biuro nieruchomości,,2022,blok,plastikowe,tak,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",brak informacji,brak informacji,pustak,REMBERTÓW
ID4fVuY,2-pokojowe mieszkanie 49m2 | Saska Kępa |,"Warszawa, Praga-Południe, Saska Kępa, Międzynarodowa",540000.0,49.0,pełna własność,2,do remontu,3/10,balkon,690 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1975,blok,,tak,brak informacji,"system alarmowy, monitoring / ochrona",brak informacji,"piwnica, oddzielna kuchnia, pom. użytkowe",żelbet,PRAGA-POŁUDNIE
ID4fVa3,3-pokojowe mieszkanie 84m2 + 2 ogródki,"Warszawa, Targówek",,84.76,pełna własność,3,do wykończenia,parter/3,"taras, ogródek",zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2022,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,TARGÓWEK
ID48QOz,"Śródmieście - ul.Grzybowska, 3 pok, 57,51 m","Warszawa, Śródmieście, ul. Grzybowska",640000.0,57.51,spółdzielcze własnościowe,3,do zamieszkania,9/15,,zapytaj,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,brak informacji,blok,,tak,brak informacji,brak informacji,brak informacji,oddzielna kuchnia,cegła,ŚRÓDMIEŚCIE
ID4foVh,2-pokojowe mieszkanie 45m2 + balkon,"Warszawa, Włochy",,45.01,pełna własność,2,do wykończenia,1/10,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2024,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,WŁOCHY
ID4giBB,2-pokojowe mieszkanie 42m2 + balkon Bezpośrednio,"Warszawa, Białołęka",,42.11,pełna własność,2,do wykończenia,2/2,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,brak informacji,brak informacji,oddzielna kuchnia,,BIAŁOŁĘKA
ID4fLFQ,"Wysoki standard, 3 pokoje, okolica z potencjałem","Warszawa, Włochy, Przedpole",1010000.0,63.07,pełna własność,3,do zamieszkania,5/5,balkon,630 zł,garaż/miejsce parkingowe,zapytaj,,wtórny,biuro nieruchomości,,2020,apartamentowiec,,tak,brak informacji,brak informacji,meble,"piwnica, pom. użytkowe",,WŁOCHY
ID4fMDb,Mieszkanie Gotowe Do Wprowadzenia,"Warszawa, Śródmieście",702000.0,28.0,pełna własność,1,do zamieszkania,5/9,,260 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,2022-04-25,1965,blok,plastikowe,tak,"telewizja kablowa, internet, telefon",brak informacji,meble,piwnica,cegła,ŚRÓDMIEŚCIE
ID4fBZo,1-pokojowe mieszkanie 41m2 + loggia,"Warszawa, Wola",813000.0,41.87,pełna własność,1,do wykończenia,1/16,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2024,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,WOLA
ID4dLqD,3 pokojowe po remoncie do wykończenia,"Warszawa, Praga-Południe, Grochów, Białowieska",667000.0,59.0,pełna własność,3,do wykończenia,1/4,balkon,540 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1968,blok,plastikowe,nie,brak informacji,domofon / wideofon,brak informacji,piwnica,,PRAGA-POŁUDNIE
ID4fXMu,Noweczesny Apartament Wola,"Warszawa, Wola",648000.0,36.79,pełna własność,2,,4/8,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2023,apartamentowiec,drewniane,tak,"internet, telefon",brak informacji,brak informacji,brak informacji,,WOLA
ID4cU2B,3-pokojowe mieszkanie 65m2 + loggia,"Warszawa, Ursus",,65.43,pełna własność,3,do wykończenia,3/11,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,URSUS
ID4fTmU,2 Pokoje Z Widokiem Górny Mokotów !,"Warszawa, Mokotów, Iwicka",798000.0,56.41,pełna własność,2,do zamieszkania,5/5,,610 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1953,blok,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon","lodówka, meble, pralka",piwnica,cegła,MOKOTÓW
ID4cscr,3-pokojowe mieszkanie 63m2 + loggia,"Warszawa, mazowieckie",,63.47,pełna własność,3,do wykończenia,8/8,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,MAZOWIECKIE
ID489UN,Pomysł na inwestycję - apartament PREMIUM z 23%VAT,"Warszawa, Wola",288000.0,18.0,,1,do wykończenia,4/20,balkon,zapytaj,garaż/miejsce parkingowe,tak,miejskie,pierwotny,biuro nieruchomości,,2021,apartamentowiec,aluminiowe,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",brak informacji,pom. użytkowe,beton komórkowy,WOLA
ID4elg0,Apartament z niebywałym ponad 120 m2 ogrodem,"Warszawa, Mokotów, Bluszczańska",850000.0,45.0,pełna własność,2,do zamieszkania,zapytaj,,zapytaj,garaż/miejsce parkingowe,zapytaj,,wtórny,biuro nieruchomości,,2015,apartamentowiec,,tak,brak informacji,"system alarmowy, monitoring / ochrona",brak informacji,brak informacji,,MOKOTÓW
ID4gnUD,"49,3m2 mieszkanie z dużym balkonem na Ochocie","Warszawa, Ochota, ul. Władysława Korotyńskiego",590000.0,49.3,,2,do remontu,9/10,balkon,800 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,2022-04-22,1976,blok,,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",brak informacji,"piwnica, oddzielna kuchnia",,OCHOTA
ID4fk1n,1-pokojowe mieszkanie 32m2 + balkon,"Warszawa, Praga-Południe",,32.26,pełna własność,1,do wykończenia,4/4,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2024,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,PRAGA-POŁUDNIE
ID4fLzW,"Ciche, widne, przy Metrze Ursynów","Warszawa, Ursynów, Aleja Komisji Edukacji Narodowej",650000.0,49.8,,2,do zamieszkania,3/4,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,1984,blok,,nie,brak informacji,brak informacji,meble,pom. użytkowe,,URSYNÓW
ID4gem0,2 pokojowe mieszkanie na prestiżowej dzielnicy!,"Warszawa, Mokotów, Siekierki, Kątna",503900.0,41.29,,2,do wykończenia,3/3,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,biuro nieruchomości,,2023,,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,,MOKOTÓW
ID4fTLs,Szybko do Centrum! Szybki odbiór kluczy! Spokój,"Warszawa, Białołęka, Leona Berensona",488598.0,52.0,,3,do wykończenia,2/2,"balkon, ogródek, taras",zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,biuro nieruchomości,,2022,,plastikowe,tak,telewizja kablowa,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,,BIAŁOŁĘKA
ID4cTjD,3-pokojowe mieszkanie 51m2 + ogródek,"Warszawa, Targówek",,51.88,pełna własność,3,do wykończenia,parter/3,ogródek,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,TARGÓWEK
ID4ffN4,Mieszkanie 43m przy Porcie Praskim 2 miejsca post.,"Warszawa, Praga-Północ, Stara Praga, ul. Jagiellońska 5a",699000.0,43.0,spółdzielcze wł. z KW,2,do zamieszkania,2/3,balkon,450 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,prywatny,,1984,blok,plastikowe,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica, pom. użytkowe",inne,PRAGA-PÓŁNOC
ID4fpP9,2-pokojowe mieszkanie 49m2 + loggia Bez Prowizji,"Warszawa, Włochy",,49.25,pełna własność,2,do wykończenia,4/10,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2024,,,nie,brak informacji,teren zamknięty,brak informacji,brak informacji,,WŁOCHY
ID4gicv,Piękny apartament obok Parku Natolińskiego,"Warszawa, Ursynów, Natolin, Jana Rosoła",1785000.0,135.0,pełna własność,4,,parter/2,balkon,2 270 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2002,apartamentowiec,drewniane,nie,"telewizja kablowa, internet",monitoring / ochrona,meble,piwnica,cegła,URSYNÓW
ID4dUnl,"Bezpośrednio Sobieskiego 110, 150m2+2 miejsca post","Warszawa, Mokotów",1620000.0,151.24,pełna własność,6,do wykończenia,3/6,"balkon, taras",1 400 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,prywatny,,1997,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",brak informacji,oddzielna kuchnia,cegła,MOKOTÓW
ID4g7yv,3-pokojowe mieszkanie ul. Nowolipki - bezpośrednio,"Warszawa, Wola",949000.0,55.78,pełna własność,3,do zamieszkania,1/4,,590 zł,zapytaj,zapytaj,miejskie,wtórny,prywatny,,brak informacji,kamienica,plastikowe,nie,brak informacji,brak informacji,"zmywarka, lodówka, piekarnik, kuchenka",piwnica,,WOLA
ID4ddUG,DOM zamiast mieszkania od 6628zł/m2.7km od Bemowa,"Warszawa, Bemowo",894900.0,135.0,pełna własność,4,do wykończenia,parter/2,"balkon, ogródek, taras",zapytaj,garaż/miejsce parkingowe,zapytaj,inne,pierwotny,biuro nieruchomości,,2022,szeregowiec,drewniane,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,"oddzielna kuchnia, dwupoziomowe, pom. użytkowe",,BEMOWO
ID4g13O,Kameralna inwestycja na Wilanowie | Świetna Oferta,"Warszawa, Wilanów",1324728.0,122.66,pełna własność,4,do wykończenia,parter/2,,zapytaj,garaż/miejsce parkingowe,Film,gazowe,pierwotny,biuro nieruchomości,,2019,apartamentowiec,,tak,brak informacji,"system alarmowy, monitoring / ochrona",brak informacji,brak informacji,,WILANÓW
ID4fjUZ,3-pokojowe mieszkanie 58m2 + taras Bez Pośredników,"Warszawa, Ochota",,58.63,pełna własność,3,do wykończenia,6/8,taras,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,OCHOTA
ID4ehjg,"64 m2, Gustownie Wykończone! Lokalizacja! Wawer !","Warszawa, Wawer, ul. Mrówcza",489000.0,64.0,udział,2,do zamieszkania,2/2,,zapytaj,garaż/miejsce parkingowe,zapytaj,gazowe,wtórny,biuro nieruchomości,,2015,kamienica,plastikowe,nie,brak informacji,domofon / wideofon,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",brak informacji,cegła,WAWER
ID4folC,"Rozkładowe 3 pokoje 64,8m2+ 30m2 Taras! Włochy!","Warszawa, Włochy, Fasolowa",764640.0,64.8,pełna własność,3,,zapytaj,taras,1 000 zł,garaż/miejsce parkingowe,zapytaj,,wtórny,biuro nieruchomości,,2004,blok,,tak,"telewizja kablowa, internet, telefon",teren zamknięty,piekarnik,oddzielna kuchnia,,WŁOCHY
ID4g7oT,"Mieszkanie 3 pokojowe 52,45m Batalionów Chłopskich","Warszawa, Bemowo, ul. Batalionów Chłopskich",749000.0,52.45,pełna własność,3,do zamieszkania,1/4,balkon,650 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,prywatny,,2014,blok,plastikowe,tak,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",piwnica,beton,BEMOWO
ID4fpVS,"Świetna inwestycja, 3 pokoje na 50 mkw.!","Warszawa, Śródmieście, Górnośląska",699000.0,48.61,pełna własność,3,do zamieszkania,7/16,balkon,710 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1972,blok,plastikowe,tak,"telewizja kablowa, internet, telefon",domofon / wideofon,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",piwnica,,ŚRÓDMIEŚCIE
ID4fJWx,"Mieszkanie, 83 m², Warszawa","Warszawa, Mokotów, Obrzeżna",1190000.0,83.0,pełna własność,3,,2/4,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2008,apartamentowiec,drewniane,tak,internet,"teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,piwnica,cegła,MOKOTÓW
ID4gbbU,"Mieszkanie, 78,50 m², Warszawa","Warszawa, Praga-Południe, Gocław",779000.0,78.5,spółdzielcze wł. z KW,4,,2/3,balkon,900 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1980,blok,,nie,brak informacji,brak informacji,brak informacji,piwnica,,PRAGA-POŁUDNIE
ID4cyRz,2-pokojowe mieszkanie 64m2 Bezpośrednio,"Warszawa, Wesoła",,64.53,pełna własność,2,do wykończenia,1/1,,zapytaj,zapytaj,Wirtualny spacer,,,,,,,,,,,,,,WESOŁA
ID4cD5n,3-pokojowe mieszkanie 64m2 + loggia Bezpośrednio,"Warszawa, Targówek",,64.3,pełna własność,3,do wykończenia,4/6,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,TARGÓWEK
ID4giAa,2-pokojowe mieszkanie 33m2 + balkon Bezpośrednio,"Warszawa, Białołęka",,33.47,pełna własność,2,do wykończenia,1/2,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,BIAŁOŁĘKA
ID4g1Iq,"2 pok przy metrze, okazja !!!","Warszawa, Centrum",580000.0,39.9,,2,,4/8,,500 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1970,blok,,tak,brak informacji,brak informacji,brak informacji,brak informacji,,CENTRUM
