rooms,price,area,price_m2,city,district
2,370000,48.0,7708.0,WARSZAWA,BIAŁOŁĘKA
3,327780,60.7,5400.0,KRAKÓW,BIEŻANÓW-PROKOCIM
2,470000,45.8,10262.0,WARSZAWA,
3,735600,59.9,12280.0,WARSZAWA,PRAGA-POŁUDNIE
1,769000,65.09,11814.0,WARSZAWA,MOKOTÓW
1,485000,37.1,13073.0,WARSZAWA,WOLA
2,329000,37.0,8892.0,RZESZÓW,
3,450000,100.0,4500.0,ŁÓDŹ,
2,325000,30.0,10833.0,WROCŁAW,FABRYCZNA
3,344160,47.8,7200.0,RZESZÓW,WILKOWYJA
4,488592,62.64,7800.0,KRAKÓW,MISTRZEJOWICE
3,379000,47.0,8064.0,KRAKÓW,MISTRZEJOWICE
4,424200,73.14,5800.0,RZESZÓW,
2,249000,45.8,5437.0,TORUŃ,OS. MŁODYCH
3,538000,51.24,10500.0,WARSZAWA,MOKOTÓW
3,389000,47.0,8277.0,KRAKÓW,NOWA HUTA
6,523000,130.76,4000.0,BYDGOSZCZ,
3,642000,64.53,9949.0,WARSZAWA,WŁOCHY
1,321500,30.5,10541.0,WARSZAWA,URSUS
3,419000,54.0,7759.0,KRAKÓW,
3,553329,63.31,8740.0,WROCŁAW,KRZYKI
2,1090000,61.8,17638.0,WARSZAWA,ŚRÓDMIEŚCIE
3,633888,66.03,9600.0,KRAKÓW,RAKOWICE
1,200000,19.04,10504.0,KRAKÓW,STARE MIASTO
3,310000,74.0,4189.0,ŁÓDŹ,
5,659000,112.57,5854.0,GDYNIA,POGÓRZE
3,630000,66.5,9474.0,WARSZAWA,URSYNÓW
4,640504,80.77,7930.0,WARSZAWA,BIAŁOŁĘKA
3,990000,78.0,12692.0,WARSZAWA,ŚRÓDMIEŚCIE
2,225000,36.0,6250.0,ŁÓDŹ,GÓRNA
3,568000,48.0,11833.0,GDAŃSK,WRZESZCZ
3,540000,102.5,5268.0,BYDGOSZCZ,BARTODZIEJE
1,477423,46.84,10193.0,WARSZAWA,MOKOTÓW
4,749000,88.0,8511.0,KRAKÓW,
2,499000,41.4,12053.0,WARSZAWA,WŁOCHY
5,595000,132.44,4493.0,WARSZAWA,REMBERTÓW
2,380000,54.88,6924.0,KRAKÓW,NOWA HUTA
3,769000,85.0,9047.0,WARSZAWA,URSUS
3,470000,64.64,7271.0,WARSZAWA,URSUS
2,450000,47.0,9574.0,KATOWICE,OS. PADEREWSKIEGO
3,561881,86.71,6480.0,WARSZAWA,
2,514000,41.0,12537.0,KRAKÓW,
2,570000,38.0,15000.0,WARSZAWA,WOLA
2,506350,42.2,11999.0,WARSZAWA,MOKOTÓW
2,639900,50.0,12798.0,WARSZAWA,WOLA
3,596190,85.17,7000.0,KATOWICE,KOSTUCHNA
3,347500,60.01,5791.0,REDA,
3,530000,66.7,7946.0,KRAKÓW,PODGÓRZE DUCHACKIE
3,548625,62.7,8750.0,WROCŁAW,KRZYKI
2,429000,49.0,8755.0,GDAŃSK,JASIEŃ
2,785000,98.0,8010.0,KRAKÓW,
3,384650,54.95,7000.0,POZNAŃ,STARE MIASTO
2,295000,50.1,5888.0,TORUŃ,
2,563839,51.61,10925.0,WROCŁAW,ŚRÓDMIEŚCIE
2,280000,53.0,5283.0,ŁÓDŹ,POLESIE
2,549696,49.08,11200.0,WARSZAWA,MOKOTÓW
1,424000,28.52,14867.0,WARSZAWA,MOKOTÓW
3,429000,63.0,6810.0,KRAKÓW,RUCZAJ
2,330004,31.28,10550.0,KRAKÓW,
3,396000,55.0,7200.0,WARSZAWA,
2,235877,36.1,6534.0,WROCŁAW,MASLICE
1,412705,29.5,13990.0,KRAKÓW,KROWODRZA
4,1160000,124.0,9355.0,KRAKÓW,KRAKÓW-KROWODRZA
1,462260,31.88,14500.0,KRAKÓW,GRZEGÓRZKI
3,555000,49.0,11327.0,WARSZAWA,MOKOTÓW
4,460000,90.9,5061.0,ZĄBKI,
3,739000,65.08,11355.0,GDAŃSK,ŚRÓDMIEŚCIE
3,554000,60.5,9157.0,KRAKÓW,
3,475000,69.0,6884.0,KRAKÓW,MYDLNIKI
4,504300,86.6,5823.0,RZESZÓW,STAROMIEŚCIE
1,333000,22.77,14625.0,WARSZAWA,MOKOTÓW
1,603000,47.62,12663.0,WARSZAWA,MOKOTÓW
1,318294,30.0,10610.0,WARSZAWA,URSUS
2,349000,28.36,12306.0,KRAKÓW,ZABŁOCIE
4,637000,85.0,7494.0,KRAKÓW,BRONOWICE
3,709000,44.0,16114.0,WARSZAWA,WOLA
3,478000,48.05,9948.0,WARSZAWA,BIELANY
4,567150,76.51,7413.0,POZNAŃ,
3,492700,65.7,7499.0,BYDGOSZCZ,KAPUŚCISKA
4,1299000,146.14,8889.0,WARSZAWA,URSYNÓW
3,478899,60.39,7930.0,WARSZAWA,BIAŁOŁĘKA
3,659999,83.0,7952.0,WROCŁAW,
2,650000,48.0,13542.0,WROCŁAW,FABRYCZNA
3,322480,55.8,5779.0,RZESZÓW,KRAKOWSKA-POŁUDNIE
2,390000,37.5,10400.0,WROCŁAW,KRZYKI
4,551787,95.3,5790.0,TORUŃ,
2,340938,36.27,9400.0,WARSZAWA,BIAŁOŁĘKA
3,550000,83.0,6627.0,WARSZAWA,BIAŁOŁĘKA
3,579000,67.7,8552.0,WARSZAWA,BEMOWO
3,1300000,93.0,13978.0,WARSZAWA,WILANÓW
3,560000,63.0,8889.0,WARSZAWA,
5,1069440,111.4,9600.0,WARSZAWA,MOKOTÓW
3,517097,59.78,8650.0,WARSZAWA,WŁOCHY
3,731000,51.49,14197.0,GDAŃSK,SOBIESZEWO
3,680000,60.0,11333.0,WARSZAWA,
2,699000,36.0,19417.0,WARSZAWA,WOLA
4,379000,69.81,5429.0,PRUSZKÓW,
4,700000,78.73,8891.0,WARSZAWA,BEMOWO
3,559856,63.62,8800.0,KRAKÓW,
2,550000,38.5,14286.0,WARSZAWA,WOLA
2,999000,56.35,17728.0,WARSZAWA,MOKOTÓW
1,399000,27.0,14778.0,KRAKÓW,
3,459000,64.0,7172.0,RZESZÓW,TYSIĄCLECIA
3,469000,72.07,6508.0,SZCZECIN,GUMIEŃCE
4,699000,84.71,8252.0,POZNAŃ,GRUNWALD
2,802845,59.78,13430.0,WARSZAWA,MOKOTÓW
2,392399,38.66,10150.0,KRAKÓW,PRĄDNIK BIAŁY
2,730000,58.0,12586.0,WARSZAWA,
4,445000,64.0,6953.0,WROCŁAW,PSIE POLE
1,449000,30.1,14917.0,WARSZAWA,
3,378000,60.0,6300.0,RZESZÓW,
3,579000,71.0,8155.0,POZNAŃ,RATAJE
5,699000,104.0,6721.0,WROCŁAW,FABRYCZNA
3,799000,78.0,10244.0,WARSZAWA,OCHOTA
2,284857,45.23,6298.0,WROCŁAW,LEŚNICA
3,698500,63.5,11000.0,WARSZAWA,BEMOWO
3,1199000,75.0,15987.0,WARSZAWA,
3,759999,68.0,11176.0,WARSZAWA,BEMOWO
2,350000,40.0,8750.0,PIASECZNO,
4,799000,81.0,9864.0,WARSZAWA,BEMOWO
3,465000,47.5,9789.0,WARSZAWA,TARGÓWEK BRÓDNO
2,205000,33.0,6212.0,TORUŃ,
3,390000,69.55,5607.0,MARKI,
3,429888,49.13,8750.0,POZNAŃ,
1,409000,29.11,14050.0,GDAŃSK,ŚRÓDMIEŚCIE
3,1097000,75.73,14486.0,WARSZAWA,ŚRÓDMIEŚCIE
2,424365,44.67,9500.0,KRAKÓW,
2,900900,54.61,16497.0,WARSZAWA,ŚRÓDMIEŚCIE
3,630000,66.4,9488.0,WARSZAWA,PRAGA-POŁUDNIE
2,629440,56.2,11200.0,WARSZAWA,BIELANY
1,360000,27.5,13091.0,WARSZAWA,ŚRÓDMIEŚCIE
3,551100,62.13,8870.0,WARSZAWA,
3,480000,48.0,10000.0,KRAKÓW,
2,232000,52.5,4419.0,GLIWICE,WOJSKA POLSKIEGO
1,415050,27.67,15000.0,KRAKÓW,GRZEGÓRZKI
3,643586,59.4,10835.0,WARSZAWA,URSYNÓW
2,512097,32.72,15651.0,WARSZAWA,WOLA
2,501103,55.74,8990.0,WROCŁAW,KRZYKI
2,483135,51.64,9356.0,WARSZAWA,URSUS
2,600000,60.0,10000.0,WARSZAWA,WŁOCHY
3,209000,58.5,3573.0,BYDGOSZCZ,
3,255000,58.0,4397.0,LEGNICA,
2,415077,47.71,8700.0,WARSZAWA,WAWER
3,450000,75.6,5952.0,SZCZECIN,GUMIEŃCE
4,642500,71.21,9023.0,GDAŃSK,ŚRÓDMIEŚCIE
3,260014,44.83,5800.0,KATOWICE,
3,456675,60.89,7500.0,GDAŃSK,JASIEŃ
3,549000,53.3,10300.0,WARSZAWA,MOKOTÓW
2,429000,46.34,9258.0,KOŁOBRZEG,
3,689000,83.0,8301.0,WARSZAWA,URSUS
2,329280,38.4,8575.0,WROCŁAW,KRZYKI
4,693704,84.6,8200.0,WARSZAWA,
1,399000,36.0,11083.0,WARSZAWA,WŁOCHY
4,740194,81.34,9100.0,GDAŃSK,PIECKI-MIGOWO
4,310000,74.0,4189.0,GLIWICE,
2,690000,37.0,18649.0,WARSZAWA,ŚRÓDMIEŚCIE
3,1140000,72.0,15833.0,WARSZAWA,ŚRÓDMIEŚCIE
4,544000,76.0,7158.0,POZNAŃ,
1,330000,38.0,8684.0,POZNAŃ,WILDA
2,342370,51.1,6700.0,BYDGOSZCZ,GÓRZYSKOWO
3,455400,69.0,6600.0,POZNAŃ,JEŻYCE
3,629000,62.0,10145.0,WARSZAWA,WOLA
1,480000,28.0,17143.0,WARSZAWA,
2,352500,35.6,9902.0,GDAŃSK,SOBIESZEWO
3,369000,53.7,6872.0,WARSZAWA,BIAŁOŁĘKA
3,847818,74.37,11400.0,KRAKÓW,GRZEGÓRZKI
3,498000,63.0,7905.0,WARSZAWA,TARGÓWEK
3,561000,42.0,13357.0,WARSZAWA,ŻOLIBORZ
1,488500,38.0,12855.0,WARSZAWA,BEMOWO
4,428465,63.95,6700.0,ZĄBKI,
3,475000,48.0,9896.0,WARSZAWA,OCHOTA
2,450000,35.67,12616.0,WARSZAWA,WILANÓW
4,1050000,97.67,10750.0,KOŁOBRZEG,
3,339000,49.13,6900.0,ŁÓDŹ,ŚRÓDMIEŚCIE
2,489000,34.6,14133.0,WARSZAWA,WOLA
4,930000,93.0,10000.0,WARSZAWA,
1,457000,36.0,12694.0,WARSZAWA,MOKOTÓW
3,349000,63.6,5487.0,RZESZÓW,
2,354960,49.3,7200.0,WROCŁAW,KRZYKI
3,509000,61.0,8344.0,GDAŃSK,CHEŁM
2,369561,52.42,7050.0,KRAKÓW,BIEŻANÓW-PROKOCIM
2,420000,53.2,7895.0,KATOWICE,
3,665000,74.07,8978.0,WROCŁAW,PSIE POLE
1,999000,101.89,9805.0,WROCŁAW,ŚRÓDMIEŚCIE
3,327182,51.27,6382.0,ŁÓDŹ,WIDZEW
3,870000,72.0,12083.0,KOŁOBRZEG,MIASTO
3,692886,67.93,10200.0,POZNAŃ,GRUNWALD
2,645000,43.0,15000.0,WARSZAWA,MOKOTÓW
3,826300,83.0,9955.0,WARSZAWA,BEMOWO CHRZANÓW
2,513300,37.0,13873.0,GDAŃSK,ŚRÓDMIEŚCIE
1,408569,33.74,12109.0,KOŁOBRZEG,WSCHODNIA
3,450000,74.76,6019.0,POZNAŃ,JEŻYCE
2,320000,39.0,8205.0,KRAKÓW,NOWA HUTA
2,340000,28.29,12018.0,KRAKÓW,PODGÓRZE
2,790000,55.67,14191.0,KRAKÓW,DĘBNIKI
3,503045,62.49,8050.0,WARSZAWA,BIAŁOŁĘKA
4,699999,56.0,12500.0,WARSZAWA,BIAŁOŁĘKA
2,429000,54.5,7872.0,WROCŁAW,ŚRÓDMIEŚCIE
2,342100,44.43,7700.0,BYDGOSZCZ,KAPUŚCISKA
3,349794,50.33,6950.0,WIELICZKA,
4,890000,144.0,6181.0,POZNAŃ,STARE MIASTO
2,395000,41.5,9518.0,WROCŁAW,STARE MIASTO
4,415000,61.7,6726.0,WARSZAWA,BIAŁOŁĘKA
4,1250000,80.0,15625.0,WARSZAWA,WOLA MIRÓW
2,619675,35.41,17500.0,WARSZAWA,WOLA
3,299000,58.3,5129.0,REDA,
3,385000,54.74,7033.0,WARSZAWA,BIAŁOŁĘKA
2,320000,40.0,8000.0,WROCŁAW,WOJSZYCE
2,549432,46.96,11700.0,GDAŃSK,ANIOŁKI
2,419000,37.1,11294.0,WARSZAWA,
2,398000,48.04,8285.0,KRAKÓW,PODGÓRZE DUCHACKIE
3,399000,54.0,7389.0,WROCŁAW,KRZYKI
3,410328,59.04,6950.0,BYDGOSZCZ,
1,475200,36.0,13200.0,WARSZAWA,ŚRÓDMIEŚCIE
3,579000,68.91,8402.0,WARSZAWA,BEMOWO
2,340000,31.0,10968.0,WARSZAWA,
1,488408,25.4,19229.0,KOŁOBRZEG,
1,330000,30.0,11000.0,KRAKÓW,KROWODRZA
2,405000,50.1,8084.0,WROCŁAW,
2,1356000,68.12,19906.0,GDAŃSK,ŚRÓDMIEŚCIE
