id,Cena,Powierzchnia,Liczba pokoi,Rynek,Piętro,Rok budowy,Rodzaj zabudowy,Liczba pięter,Materiał budynku,Ogrzewanie,Stan wykończenia,Forma własności,Okna,Czynsz
ID4cn43,672500.0,57.0,3.0,wtórny,6,1975.0,blok,10.0,wielka płyta,miejskie,do zamieszkania,spółdzielcze własnościowe,,
ID48PEJ,17500000.0,2640.0,10.0,wtórny,,,blok,4.0,,miejskie,,pełna własność,,
ID4c6kB,350000.0,32.0,1.0,wtórny,parter,,blok,,,miejskie,do remontu,spółdzielcze własnościowe,,
ID46SAs,2059750.0,117.8,4.0,pierwotny,1,2020.0,,2.0,,,,,,
ID4cp2V,4400000.0,293.71,7.0,wtórny,6,2016.0,,6.0,,,,,,
ID4cyLS,829000.0,70.16,4.0,wtórny,4,1955.0,,4.0,,,do remontu,pełna własność,,830 zł
ID4bVQ4,602400.0,33.06,1.0,pierwotny,parter,2022.0,apartamentowiec,2.0,cegła,miejskie,,pełna własność,drewniane,
ID39fYs,3300000.0,193.0,5.0,wtórny,5,,,,,,,,,
ID4bV3w,400000.0,62.0,2.0,pierwotny,4,,apartamentowiec,4.0,,miejskie,,pełna własność,plastikowe,
ID48Oe3,2399474.0,156.0,4.0,pierwotny,1,,apartamentowiec,2.0,,miejskie,do wykończenia,pełna własność,,
ID4dgvw,2061500.0,117.8,4.0,pierwotny,1,,,2.0,,,,,,
ID4bXfm,1639000.0,92.0,4.0,wtórny,1,1930.0,kamienica,3.0,cegła,miejskie,do zamieszkania,pełna własność,drewniane,
ID4ca0Y,2600000.0,147.0,5.0,wtórny,2,2012.0,apartamentowiec,5.0,,miejskie,do zamieszkania,pełna własność,drewniane,1 500 zł
ID42Zwb,1373085.0,101.71,4.0,wtórny,2,2009.0,apartamentowiec,9.0,,miejskie,,,,
ID4cALf,911860.0,71.8,3.0,pierwotny,parter,2020.0,,,,,,,,
ID49jh4,539000.0,31.42,2.0,wtórny,2,2019.0,apartamentowiec,5.0,,,,,,300 zł
ID4cW7F,709000.0,35.0,1.0,wtórny,parter,2005.0,apartamentowiec,4.0,cegła,miejskie,do zamieszkania,pełna własność,plastikowe,
ID4cqZD,837000.0,61.0,3.0,pierwotny,5,2022.0,apartamentowiec,11.0,cegła,inne,,,,
ID4cEY5,624000.0,62.5,3.0,wtórny,2,1992.0,blok,4.0,cegła,miejskie,do remontu,spółdzielcze wł. z KW,plastikowe,
ID4b7vj,679000.0,44.0,2.0,wtórny,2,2018.0,apartamentowiec,7.0,,,,pełna własność,,
ID4d0ur,739000.0,50.0,2.0,wtórny,4,2014.0,apartamentowiec,4.0,inne,miejskie,do zamieszkania,pełna własność,drewniane,550 zł
ID4d071,2711632.0,154.07,5.0,pierwotny,1,2020.0,apartamentowiec,2.0,,miejskie,,,,
ID4cx9y,790000.0,56.5,2.0,wtórny,4,2002.0,,4.0,,,,,plastikowe,
ID4cP1I,899000.0,65.5,3.0,wtórny,4,2018.0,blok,7.0,cegła,miejskie,do zamieszkania,pełna własność,,1 000 zł
ID4d5xa,939600.0,58.0,3.0,wtórny,4,2020.0,blok,7.0,inne,miejskie,do zamieszkania,pełna własność,plastikowe,
ID4cDrB,2766269.0,143.33,5.0,pierwotny,6,2020.0,apartamentowiec,8.0,,miejskie,do wykończenia,,,
ID4bDlq,2400000.0,133.88,4.0,wtórny,1,2006.0,,6.0,cegła,miejskie,,pełna własność,,
ID4cwxN,2500000.0,131.5,4.0,wtórny,1,1936.0,kamienica,3.0,,,,,,
ID4d39U,2061500.0,117.8,4.0,pierwotny,1,2021.0,apartamentowiec,2.0,,,do wykończenia,pełna własność,,
